SCHOOLJAAR 2013-2014 IN HET VO (peildatum 1 oktober 2013);;;;;;;SCHOOLJAAR 2014-2015 IN HET MBO (peildatum 1 oktober 2014);;;;;;;;;
BRIN NUMMER;VESTIGINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;LEERWEG MBO;MBO SECTOR;KWALIFICATIE CODE;KWALIFICATIE NAAM;BRIN NUMMER KENNISCENTRUM;NAAM KENNISCENTRUM;GEMEENTENUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
02VG;22;599;ROTTERDAM;havo;geen diploma;ec/maat;00GT;BOL;zorg en welzijn;93500;Onderwijsassistent;02QG;Calibris;599;Rotterdam;1
02VG;22;599;ROTTERDAM;havo;geen diploma;nat/tech & nat/gezond;25LP;BOL;techniek;22082;Analist;02QD;Kenniscentrum PMLF;622;Vlaardingen;1
02VG;26;599;ROTTERDAM;havo;geen diploma;nat/gezond;25LP;BOL;techniek;90240;Operator C;02QD;Kenniscentrum PMLF;556;Maassluis;1
02VG;26;599;ROTTERDAM;havo;geen diploma;ec/maat & cul/maat;20MQ;BOL;techniek;90413;Mediavormgever (Grafische vormgeving);02PT;Kenniscentrum GOC;599;Rotterdam;1
02VJ;0;37;STADSKANAAL;havo;geen diploma;nvt;25LW;BOL;economie;90303;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);02PY;Kenwerk;1680;Aa en Hunze;1
02VJ;0;37;STADSKANAAL;havo;geen diploma;nvt;25LW;BOL;techniek;94421;Middenkader engineering (Technicus);02PR;Kenteq;37;Stadskanaal;1
02VJ;0;37;STADSKANAAL;havo;geen diploma;nat/tech;25LU;BOL;economie;93802;Commercieel medewerker ((Junior) Accountmanager);00SE;Kenniscentrum Handel;52;Winschoten;1
02VJ;0;37;STADSKANAAL;havo;geen diploma;nat/tech;25LU;BOL;techniek;95312;Applicatie- en mediaontwikkeling (Gamedeveloper);02PT;Kenniscentrum GOC;48;Vlagtwedde;1
02VJ;0;37;STADSKANAAL;havo;geen diploma;nat/gezond;14NZ;BOL;onbekend;79140;Zorg en welzijn;28DV;Combinatie kenniscentra;37;Stadskanaal;1
02VJ;0;37;STADSKANAAL;havo;geen diploma;nat/gezond;25LW;BOL;economie;22161;Juridisch medewerker;00SP;ECABO;48;Vlagtwedde;1
02VJ;0;37;STADSKANAAL;havo;geen diploma;nat/gezond;25LW;BOL;techniek;22082;Analist;02QD;Kenniscentrum PMLF;37;Stadskanaal;1
02VJ;0;37;STADSKANAAL;havo;geen diploma;nat/gezond;25LW;BOL;zorg en welzijn;92661;Maatschappelijke Zorg (Persoonlijk begeleider gehandicaptenzorg);02QG;Calibris;37;Stadskanaal;1
02VJ;0;37;STADSKANAAL;havo;geen diploma;nat/gezond;25LW;BOL;zorg en welzijn;92662;Maatschappelijke Zorg (Persoonlijk begeleider specifieke doelgroepen);02QG;Calibris;37;Stadskanaal;1
02VJ;0;37;STADSKANAAL;havo;geen diploma;nat/gezond;25PW;BOL;economie;95323;ICT- en mediabeheer (Netwerkbeheerder);00SP;ECABO;37;Stadskanaal;1
02VJ;0;37;STADSKANAAL;havo;geen diploma;ec/maat;25LW;BOL;economie;90303;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);02PY;Kenwerk;37;Stadskanaal;1
02VJ;0;37;STADSKANAAL;havo;geen diploma;ec/maat;25LW;BOL;economie;93200;Financiële beroepen (Financieel administratief medewerker);00SP;ECABO;37;Stadskanaal;1
02VJ;0;37;STADSKANAAL;havo;diploma;nat/gezond;14NZ;BOL;zorg en welzijn;95520;Mbo-Verpleegkundige;02QG;Calibris;48;Vlagtwedde;1
02VJ;1;1895;OLDAMBT;havo;geen diploma;nvt;14NZ;BOL;zorg en welzijn;95520;Mbo-Verpleegkundige;02QG;Calibris;52;Winschoten;1
02VJ;1;1895;OLDAMBT;havo;geen diploma;nvt;25LW;BOL;economie;22158;Financiële beroepen;00SP;ECABO;39;Scheemda;1
02VJ;1;1895;OLDAMBT;havo;geen diploma;nvt;25LW;BOL;zorg en welzijn;92632;Gespecialiseerd Pedagogisch medewerker 4  kinderopvang;02QG;Calibris;52;Winschoten;1
02VJ;1;1895;OLDAMBT;havo;geen diploma;nvt;25LW;BOL;zorg en welzijn;95520;Mbo-Verpleegkundige;02QG;Calibris;1661;Reiderland;1
02VM;0;345;VEENENDAAL;havo;geen diploma;nvt;25LF;BOL;zorg en welzijn;91310;Doktersassistent;02QG;Calibris;1740;Neder-Betuwe;1
02VM;0;345;VEENENDAAL;havo;geen diploma;nat/gezond;04CY;BOL;zorg en welzijn;92661;Maatschappelijke Zorg (Persoonlijk begeleider gehandicaptenzorg);02QG;Calibris;214;Buren;1
02VM;0;345;VEENENDAAL;havo;geen diploma;nat/gezond;25LH;BOL;zorg en welzijn;22171;Sport en bewegen;02QG;Calibris;345;Veenendaal;1
02VM;0;345;VEENENDAAL;havo;geen diploma;ec/maat;25GV;BOL;landbouw;97541;Voedingsmanagement (Voedingsspecialist);25DC;Aequor;340;Rhenen;1
02VM;0;345;VEENENDAAL;havo;geen diploma;ec/maat;25PM;BOL;economie;94810;Toezicht en veiligheid (Handhaver toezicht en veiligheid);00SP;ECABO;345;Veenendaal;1
02VM;0;345;VEENENDAAL;havo;geen diploma;ec/maat;30RN;BOL;techniek;95700;Gamedeveloper;02PT;Kenniscentrum GOC;345;Veenendaal;1
02VM;0;345;VEENENDAAL;havo;geen diploma;cul/maat;25LF;BOL;economie;90303;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);02PY;Kenwerk;345;Veenendaal;1
02VM;0;345;VEENENDAAL;havo;geen diploma;cul/maat;25LH;BOL;economie;22166;Medewerker marketing en communicatie;00SP;ECABO;345;Veenendaal;1
02VM;0;345;VEENENDAAL;havo;geen diploma;cul/maat;25PM;BOL;zorg en welzijn;93500;Onderwijsassistent;02QG;Calibris;339;Renswoude;1
02VM;0;345;VEENENDAAL;havo;geen diploma;cul/maat;25PM;BOL;zorg en welzijn;95746;Schoonheidsspecialist;16QY;KOC Nederland;345;Veenendaal;1
02VM;0;345;VEENENDAAL;havo;geen diploma;cul/maat;25PZ;BOL;techniek;90411;Mediavormgever (Animatie/audiovisuele vormgeving);02PT;Kenniscentrum GOC;345;Veenendaal;1
02VM;0;345;VEENENDAAL;havo;diploma;nat/gezond;25PM;BOL;techniek;94421;Middenkader engineering (Technicus);02PR;Kenteq;1581;Utrechtse Heuvelrug;1
02VM;0;345;VEENENDAAL;havo;diploma;ec/maat;25LF;BOL;economie;90303;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);02PY;Kenwerk;345;Veenendaal;1
02VM;0;345;VEENENDAAL;havo;diploma;cul/maat;25LF;BOL;zorg en welzijn;95520;Mbo-Verpleegkundige;02QG;Calibris;345;Veenendaal;1
02VM;0;345;VEENENDAAL;havo;diploma;ec/maat & cul/maat;25LF;BOL;economie;90303;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);02PY;Kenwerk;1581;Utrechtse Heuvelrug;1
02VN;0;277;ROZENDAAL;havo;geen diploma;nvt;25LF;BOL;techniek;94421;Middenkader engineering (Technicus);02PR;Kenteq;202;Arnhem;1
02VN;0;277;ROZENDAAL;havo;geen diploma;nat/tech;25LF;BOL;economie;95060;ICT-medewerker (Medewerker ICT);00SP;ECABO;275;Rheden;1
02VN;0;277;ROZENDAAL;havo;geen diploma;nat/tech;25LF;BOL;techniek;94051;Middenkaderfunctionaris bouw en infra (Middenkaderfunctionaris bouw);02QH;Fundeon;275;Rheden;1
02VN;0;277;ROZENDAAL;havo;geen diploma;ec/maat;24ZZ;BOL;economie;95311;Applicatie- en mediaontwikkeling (Applicatieontwikkelaar);00SP;ECABO;221;Doesburg;1
02VN;0;277;ROZENDAAL;havo;geen diploma;ec/maat;24ZZ;BOL;zorg en welzijn;95530;Verzorgende-IG;02QG;Calibris;275;Rheden;1
02VN;0;277;ROZENDAAL;havo;geen diploma;ec/maat;25LF;BOL;economie;90290;Ondernemer detailhandel;00SE;Kenniscentrum Handel;299;Zevenaar;1
02VN;0;277;ROZENDAAL;havo;geen diploma;ec/maat;25LF;BOL;economie;90532;Medewerker marketing en communicatie (Marketing medewerker);00SP;ECABO;221;Doesburg;1
02VN;0;277;ROZENDAAL;havo;geen diploma;ec/maat;25LF;BOL;economie;90532;Medewerker marketing en communicatie (Marketing medewerker);00SP;ECABO;275;Rheden;1
02VN;0;277;ROZENDAAL;havo;geen diploma;ec/maat;25LF;BOL;economie;90534;Medewerker marketing en communicatie (Medewerker evenementenorganisatie);00SP;ECABO;275;Rheden;1
02VN;0;277;ROZENDAAL;havo;geen diploma;ec/maat;25PM;BOL;economie;95321;ICT- en mediabeheer (ICT-beheerder);00SP;ECABO;275;Rheden;1
02VN;0;277;ROZENDAAL;havo;geen diploma;ec/maat;25PM;BOL;techniek;90413;Mediavormgever (Grafische vormgeving);02PT;Kenniscentrum GOC;202;Arnhem;1
02VN;0;277;ROZENDAAL;havo;geen diploma;cul/maat;25LF;BOL;economie;90303;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);02PY;Kenwerk;221;Doesburg;1
02VN;0;277;ROZENDAAL;havo;geen diploma;cul/maat;25LF;BOL;economie;90622;Frontofficemedewerker (Receptionist);02PY;Kenwerk;275;Rheden;1
02VN;0;277;ROZENDAAL;havo;geen diploma;cul/maat;25PM;BOL;zorg en welzijn;22195;Maatschappelijke Zorg;02QG;Calibris;275;Rheden;1
02VN;0;277;ROZENDAAL;havo;geen diploma;cul/maat;27DV;BOL;zorg en welzijn;95520;Mbo-Verpleegkundige;02QG;Calibris;275;Rheden;1
02VN;0;277;ROZENDAAL;havo;diploma;ec/maat;13US;BOL;landbouw;97090;Manager natuur en recreatie;25DC;Aequor;221;Doesburg;1
02VQ;0;479;ZAANSTAD;havo;geen diploma;nvt;25RA;BOL;economie;95311;Applicatie- en mediaontwikkeling (Applicatieontwikkelaar);00SP;ECABO;479;Zaanstad;1
02VQ;0;479;ZAANSTAD;havo;geen diploma;nvt;25RA;BOL;zorg en welzijn;22197;Pedagogisch Werk;02QG;Calibris;479;Zaanstad;1
02VQ;0;479;ZAANSTAD;havo;geen diploma;nat/tech;02PA;BOL;techniek;22086;Mediavormgever;28DV;Combinatie kenniscentra;363;Amsterdam;1
02VQ;0;479;ZAANSTAD;havo;geen diploma;nat/tech;25LH;BOL;economie;94891;Juridisch medewerker zakelijke dienstverlening;00SP;ECABO;479;Zaanstad;1
02VQ;0;479;ZAANSTAD;havo;geen diploma;nat/tech;25PZ;BOL;techniek;90411;Mediavormgever (Animatie/audiovisuele vormgeving);02PT;Kenniscentrum GOC;479;Zaanstad;1
02VQ;0;479;ZAANSTAD;havo;geen diploma;nat/gezond;25PZ;BOL;techniek;93010;Aviation operations officer (Aviation operations officer);25HV;VTL;479;Zaanstad;1
02VQ;0;479;ZAANSTAD;havo;geen diploma;ec/maat;02PA;BOL;techniek;22086;Mediavormgever;28DV;Combinatie kenniscentra;431;Oostzaan;1
02VQ;0;479;ZAANSTAD;havo;geen diploma;ec/maat;25PZ;BOL;zorg en welzijn;95520;Mbo-Verpleegkundige;02QG;Calibris;479;Zaanstad;1
02VQ;0;479;ZAANSTAD;havo;geen diploma;ec/maat;25RA;BOL;onbekend;22263;ICT- en mediabeheer;28DV;Combinatie kenniscentra;479;Zaanstad;1
02VQ;0;479;ZAANSTAD;havo;geen diploma;ec/maat;30BC;BOL;techniek;22093;Vormgeving ruimtelijke presentatie en communicatie;02FW;Savantis;431;Oostzaan;1
02VQ;0;479;ZAANSTAD;havo;geen diploma;cul/maat;25PZ;BOL;techniek;95740;Specialist mode/maatkleding;00SE;Kenniscentrum Handel;479;Zaanstad;1
02VR;0;355;ZEIST;havo;geen diploma;nvt;25LH;BOL;economie;93200;Financiële beroepen (Financieel administratief medewerker);00SP;ECABO;355;Zeist;1
02VR;0;355;ZEIST;havo;geen diploma;ec/maat;04FO;BOL;economie;90500;Commercieel medewerker bank- en verzekeringswezen;00SP;ECABO;355;Zeist;1
02VR;0;355;ZEIST;havo;geen diploma;ec/maat;25LH;BOL;economie;93212;Financiële beroepen (Bedrijfsadministrateur);00SP;ECABO;355;Zeist;1
02VR;0;355;ZEIST;havo;geen diploma;ec/maat;25LH;BOL;economie;95321;ICT- en mediabeheer (ICT-beheerder);00SP;ECABO;355;Zeist;1
02VR;0;355;ZEIST;havo;geen diploma;ec/maat;25LH;BOL;economie;95750;Facilitair leidinggevende;02PY;Kenwerk;355;Zeist;1
02VR;0;355;ZEIST;havo;geen diploma;ec/maat;25LH;BOL;zorg en welzijn;22171;Sport en bewegen;02QG;Calibris;355;Zeist;1
02VR;0;355;ZEIST;havo;geen diploma;ec/maat;25LH;BOL;zorg en welzijn;22197;Pedagogisch Werk;02QG;Calibris;312;Bunnik;1
02VR;0;355;ZEIST;havo;geen diploma;ec/maat;30RN;BOL;economie;90534;Medewerker marketing en communicatie (Medewerker evenementenorganisatie);00SP;ECABO;310;De Bilt;1
02VR;0;355;ZEIST;havo;geen diploma;ec/maat;30RN;BOL;economie;93211;Financiële beroepen (Assistent-accountant);00SP;ECABO;312;Bunnik;1
02VR;0;355;ZEIST;havo;geen diploma;ec/maat;30RR;BOL;economie;95081;Veiligheid en vakmanschap (Aankomend medewerker grondoptreden);00SP;ECABO;351;Woudenberg;1
02VR;0;355;ZEIST;havo;geen diploma;ec/maat;30RR;BOL;zorg en welzijn;95520;Mbo-Verpleegkundige;02QG;Calibris;312;Bunnik;1
02VR;0;355;ZEIST;havo;geen diploma;cul/maat;25PM;BOL;zorg en welzijn;22195;Maatschappelijke Zorg;02QG;Calibris;355;Zeist;1
02VR;0;355;ZEIST;havo;diploma;ec/maat;25LF;BOL;economie;90304;Ondernemer horeca/bakkerij (Ondernemer bakkerij);02PY;Kenwerk;355;Zeist;1
02VR;0;355;ZEIST;havo;diploma;ec/maat;25PZ;BOL;techniek;94421;Middenkader engineering (Technicus);02PR;Kenteq;355;Zeist;1
02VR;0;355;ZEIST;havo;diploma;nat/tech & nat/gezond;02PK;BOL;techniek;22093;Vormgeving ruimtelijke presentatie en communicatie;02FW;Savantis;1581;Utrechtse Heuvelrug;1
02VR;4;1581;UTRECHTSE HEUVELRUG;havo;geen diploma;nat/gezond;30RN;BOL;zorg en welzijn;22191;Mbo-Verpleegkundige;02QG;Calibris;1581;Utrechtse Heuvelrug;1
02VR;4;1581;UTRECHTSE HEUVELRUG;havo;geen diploma;ec/maat;25LH;BOL;economie;90303;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);02PY;Kenwerk;352;Wijk bij Duurstede;1
02VR;4;1581;UTRECHTSE HEUVELRUG;havo;geen diploma;ec/maat;25LH;BOL;economie;90933;Assistent-manager internatinale handel (Asistent-manager internationale handel binnendienst);00SE;Kenniscentrum Handel;1581;Utrechtse Heuvelrug;1
02VR;4;1581;UTRECHTSE HEUVELRUG;havo;geen diploma;ec/maat;25LH;BOL;economie;94900;Medewerker personeel en arbeid;00SP;ECABO;1581;Utrechtse Heuvelrug;1
02VR;4;1581;UTRECHTSE HEUVELRUG;havo;geen diploma;ec/maat;25LH;BOL;techniek;94421;Middenkader engineering (Technicus);02PR;Kenteq;1581;Utrechtse Heuvelrug;1
02VR;4;1581;UTRECHTSE HEUVELRUG;havo;geen diploma;ec/maat;25LH;BOL;zorg en welzijn;93500;Onderwijsassistent;02QG;Calibris;1581;Utrechtse Heuvelrug;1
02VR;4;1581;UTRECHTSE HEUVELRUG;havo;geen diploma;nat/tech & nat/gezond;05EA;BOL;techniek;95260;Havenlogistiek (Manager havenlogistiek);25HV;VTL;1581;Utrechtse Heuvelrug;1
02VR;4;1581;UTRECHTSE HEUVELRUG;havo;geen diploma;nat/tech & nat/gezond;30RN;BOL;techniek;94051;Middenkaderfunctionaris bouw en infra (Middenkaderfunctionaris bouw);02QH;Fundeon;1581;Utrechtse Heuvelrug;1
02VR;4;1581;UTRECHTSE HEUVELRUG;havo;geen diploma;ec/maat & cul/maat;25LH;BOL;zorg en welzijn;95745;Allround schoonheidsspecialist;16QY;KOC Nederland;1581;Utrechtse Heuvelrug;1
02VR;4;1581;UTRECHTSE HEUVELRUG;havo;diploma;nat/gezond;25PM;BOL;economie;94072;Frontofficemedewerker (Frontofficemanager);02PY;Kenwerk;1581;Utrechtse Heuvelrug;1
02VR;5;352;WIJK BIJ DUURSTEDE;havo;geen diploma;nat/gezond;25LH;BOL;economie;95321;ICT- en mediabeheer (ICT-beheerder);00SP;ECABO;312;Bunnik;1
02VR;5;352;WIJK BIJ DUURSTEDE;havo;geen diploma;cul/maat;25LF;BOL;zorg en welzijn;22195;Maatschappelijke Zorg;02QG;Calibris;312;Bunnik;1
02VR;5;352;WIJK BIJ DUURSTEDE;havo;diploma;ec/maat;30RN;BOL;zorg en welzijn;22171;Sport en bewegen;02QG;Calibris;214;Buren;1
02VR;5;352;WIJK BIJ DUURSTEDE;havo;diploma;cul/maat;25PZ;BOL;techniek;94471;Medewerker design (Medewerker styling);00SE;Kenniscentrum Handel;352;Wijk bij Duurstede;1
02VS;0;301;ZUTPHEN;havo;geen diploma;nvt;27DV;BOL;zorg en welzijn;22171;Sport en bewegen;02QG;Calibris;262;Lochem;1
02VS;0;301;ZUTPHEN;havo;geen diploma;nvt;27DV;BOL;zorg en welzijn;95520;Mbo-Verpleegkundige;02QG;Calibris;301;Zutphen;1
02VS;0;301;ZUTPHEN;havo;geen diploma;nat/tech;24ZZ;BOL;techniek;94421;Middenkader engineering (Technicus);02PR;Kenteq;262;Lochem;1
02VS;0;301;ZUTPHEN;havo;geen diploma;nat/tech;25PJ;BOL;economie;90303;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);02PY;Kenwerk;301;Zutphen;1
02VS;0;301;ZUTPHEN;havo;geen diploma;cul/maat;26CC;BOL;landbouw;97090;Manager natuur en recreatie;25DC;Aequor;213;Brummen;1
02VS;0;301;ZUTPHEN;havo;geen diploma;cul/maat;27DV;BOL;economie;22161;Juridisch medewerker;00SP;ECABO;262;Lochem;1
02VS;0;301;ZUTPHEN;havo;diploma;nat/tech;25LF;BOL;techniek;94421;Middenkader engineering (Technicus);02PR;Kenteq;275;Rheden;1
02VS;0;301;ZUTPHEN;havo;diploma;cul/maat;25PJ;BOL;economie;90303;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);02PY;Kenwerk;301;Zutphen;1
02VS;0;301;ZUTPHEN;havo;diploma;nat/tech & nat/gezond;27DV;BOL;techniek;22082;Analist;02QD;Kenniscentrum PMLF;301;Zutphen;1
02VS;0;301;ZUTPHEN;havo;diploma;ec/maat & cul/maat;25GV;BOL;landbouw;97730;Recreatiedieren (Ondernemer/manager recreatiedieren);25DC;Aequor;301;Zutphen;1
02VS;0;301;ZUTPHEN;vwo;geen diploma;nvt;27DV;BOL;zorg en welzijn;95746;Schoonheidsspecialist;16QY;KOC Nederland;301;Zutphen;1
02VT;0;193;ZWOLLE;havo;geen diploma;nvt;25PJ;BOL;techniek;91850;Luchtvaartdienstverlener;25HV;VTL;244;Hattem;1
02VT;0;193;ZWOLLE;havo;geen diploma;nat/tech;05EA;BOL;techniek;95728;Maritiem officier alle schepen;25HV;VTL;1708;Steenwijkerland;1
02VT;0;193;ZWOLLE;havo;geen diploma;nat/tech;25PJ;BOL;techniek;94421;Middenkader engineering (Technicus);02PR;Kenteq;1896;Zwartewaterland;1
02VT;0;193;ZWOLLE;havo;geen diploma;nat/gezond;01AA;BOL;zorg en welzijn;22171;Sport en bewegen;02QG;Calibris;193;Zwolle;2
02VT;0;193;ZWOLLE;havo;geen diploma;nat/gezond;25PJ;BBL;techniek;94272;Installeren (Monteur werktuigkundige installaties);02PR;Kenteq;1896;Zwartewaterland;1
02VT;0;193;ZWOLLE;havo;geen diploma;ec/maat;01AA;BOL;economie;90532;Medewerker marketing en communicatie (Marketing medewerker);00SP;ECABO;269;Oldebroek;1
02VT;0;193;ZWOLLE;havo;geen diploma;ec/maat;01AA;BOL;economie;93212;Financiële beroepen (Bedrijfsadministrateur);00SP;ECABO;1896;Zwartewaterland;1
02VT;0;193;ZWOLLE;havo;geen diploma;ec/maat;01AA;BOL;techniek;91870;Manager transport en logistiek (manager transport en logistiek);25HV;VTL;1896;Zwartewaterland;1
02VT;0;193;ZWOLLE;havo;geen diploma;ec/maat;01AA;BOL;zorg en welzijn;22195;Maatschappelijke Zorg;02QG;Calibris;269;Oldebroek;1
02VT;0;193;ZWOLLE;havo;geen diploma;ec/maat;01AA;BOL;zorg en welzijn;93500;Onderwijsassistent;02QG;Calibris;269;Oldebroek;1
02VT;0;193;ZWOLLE;havo;geen diploma;ec/maat;01AA;BOL;zorg en welzijn;95520;Mbo-Verpleegkundige;02QG;Calibris;193;Zwolle;1
02VT;0;193;ZWOLLE;havo;geen diploma;ec/maat;02PN;BOL;techniek;22086;Mediavormgever;28DV;Combinatie kenniscentra;269;Oldebroek;1
02VT;0;193;ZWOLLE;havo;geen diploma;ec/maat;25PJ;BOL;economie;90290;Ondernemer detailhandel;00SE;Kenniscentrum Handel;193;Zwolle;1
02VT;0;193;ZWOLLE;havo;geen diploma;ec/maat;25PJ;BOL;economie;93212;Financiële beroepen (Bedrijfsadministrateur);00SP;ECABO;1896;Zwartewaterland;1
02VT;0;193;ZWOLLE;havo;geen diploma;ec/maat;25PJ;BOL;economie;93801;Commercieel medewerker ((Junior) Accountmanager);00SP;ECABO;1896;Zwartewaterland;1
02VT;0;193;ZWOLLE;havo;geen diploma;ec/maat;25PJ;BOL;economie;94130;Leisure & hospitality (Leisure & hospitality executive);02PY;Kenwerk;244;Hattem;1
02VT;0;193;ZWOLLE;havo;geen diploma;ec/maat;25PJ;BOL;techniek;94421;Middenkader engineering (Technicus);02PR;Kenteq;1896;Zwartewaterland;1
02VT;0;193;ZWOLLE;havo;geen diploma;ec/maat;25PJ;BOL;zorg en welzijn;91300;Apothekersassistent;02QG;Calibris;193;Zwolle;1
02VT;0;193;ZWOLLE;havo;geen diploma;cul/maat;01AA;BOL;zorg en welzijn;22195;Maatschappelijke Zorg;02QG;Calibris;193;Zwolle;1
02VT;0;193;ZWOLLE;havo;diploma;nat/gezond;25PJ;BOL;techniek;22076;Optiek;02PS;SVGB;269;Oldebroek;1
02VT;0;193;ZWOLLE;havo;diploma;nat/gezond;25PJ;BOL;techniek;94421;Middenkader engineering (Technicus);02PR;Kenteq;193;Zwolle;1
02VT;0;193;ZWOLLE;havo;diploma;ec/maat;25GV;BOL;landbouw;97590;Dierenartsassistent paraveterinair;25DC;Aequor;269;Oldebroek;1
02VT;0;193;ZWOLLE;havo;diploma;cul/maat;02PN;BOL;techniek;93686;Creatief vakman (Ontwerpend Meubelmaker);04IN;SH&M;269;Oldebroek;1
02VT;0;193;ZWOLLE;havo;diploma;cul/maat;25PJ;BOL;economie;90303;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);02PY;Kenwerk;193;Zwolle;1
02VT;0;193;ZWOLLE;havo;diploma;nat/tech & nat/gezond;01AA;BOL;zorg en welzijn;95520;Mbo-Verpleegkundige;02QG;Calibris;244;Hattem;1
02VT;0;193;ZWOLLE;havo;diploma;nat/tech & nat/gezond;25PJ;BOL;zorg en welzijn;91300;Apothekersassistent;02QG;Calibris;1708;Steenwijkerland;1
02VT;5;193;ZWOLLE;havo;geen diploma;nvt;25PJ;BOL;techniek;90061;AV-productie (Allround medewerker AV-productie);02PT;Kenniscentrum GOC;269;Oldebroek;1
02VT;5;193;ZWOLLE;havo;geen diploma;nat/gezond;01AA;BOL;zorg en welzijn;95520;Mbo-Verpleegkundige;02QG;Calibris;193;Zwolle;1
02VT;5;193;ZWOLLE;havo;geen diploma;nat/gezond;05EA;BOL;techniek;95728;Maritiem officier alle schepen;25HV;VTL;193;Zwolle;1
02VT;5;193;ZWOLLE;havo;geen diploma;ec/maat;01AA;BOL;economie;95311;Applicatie- en mediaontwikkeling (Applicatieontwikkelaar);00SP;ECABO;193;Zwolle;1
02VT;5;193;ZWOLLE;havo;geen diploma;ec/maat;25PJ;BOL;economie;90303;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);02PY;Kenwerk;193;Zwolle;1
02VT;5;193;ZWOLLE;havo;geen diploma;ec/maat;25PJ;BOL;techniek;90414;Mediavormgever (Interactieve vormgeving);02PT;Kenniscentrum GOC;193;Zwolle;1
02VT;5;193;ZWOLLE;havo;geen diploma;ec/maat;25PJ;BOL;techniek;94471;Medewerker design (Medewerker styling);00SE;Kenniscentrum Handel;193;Zwolle;1
02VT;5;193;ZWOLLE;havo;geen diploma;ec/maat;25PJ;BOL;zorg en welzijn;22171;Sport en bewegen;02QG;Calibris;193;Zwolle;1
02VT;5;193;ZWOLLE;havo;geen diploma;ec/maat;25PJ;BOL;zorg en welzijn;22195;Maatschappelijke Zorg;02QG;Calibris;193;Zwolle;1
02VT;5;193;ZWOLLE;havo;geen diploma;ec/maat;25PJ;BOL;zorg en welzijn;92670;Sociaal-maatschappelijk dienstverlener (Sociaal-maatschappelijk dienstverlener);02QG;Calibris;193;Zwolle;1
02VT;5;193;ZWOLLE;havo;geen diploma;cul/maat;25PJ;BOL;techniek;90038;Artiest (Muziek);02PT;Kenniscentrum GOC;193;Zwolle;1
02VT;5;193;ZWOLLE;havo;geen diploma;cul/maat;25PJ;BOL;zorg en welzijn;92632;Gespecialiseerd Pedagogisch medewerker 4  kinderopvang;02QG;Calibris;1896;Zwartewaterland;1
02VT;5;193;ZWOLLE;havo;geen diploma;nat/tech & nat/gezond;25PJ;BOL;techniek;94421;Middenkader engineering (Technicus);02PR;Kenteq;148;Dalfsen;1
02VT;5;193;ZWOLLE;havo;geen diploma;nat/tech & nat/gezond;25PJ;BOL;techniek;94421;Middenkader engineering (Technicus);02PR;Kenteq;193;Zwolle;1
02VT;5;193;ZWOLLE;havo;diploma;nat/tech;25GV;BOL;landbouw;97590;Dierenartsassistent paraveterinair;25DC;Aequor;203;Barneveld;1
02VT;5;193;ZWOLLE;havo;diploma;nat/gezond;25GV;BOL;landbouw;97590;Dierenartsassistent paraveterinair;25DC;Aequor;148;Dalfsen;1
02VT;5;193;ZWOLLE;havo;diploma;ec/maat;01AA;BOL;zorg en welzijn;91370;Sociaal-cultureel werker;02QG;Calibris;148;Dalfsen;1
02VT;5;193;ZWOLLE;havo;diploma;cul/maat;01AA;BOL;zorg en welzijn;92632;Gespecialiseerd Pedagogisch medewerker 4  kinderopvang;02QG;Calibris;148;Dalfsen;1
02VT;5;193;ZWOLLE;havo;diploma;nat/tech & nat/gezond;25PJ;BOL;zorg en welzijn;91310;Doktersassistent;02QG;Calibris;193;Zwolle;1
02VT;5;193;ZWOLLE;havo;diploma;ec/maat & cul/maat;25PJ;BOL;economie;90303;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);02PY;Kenwerk;180;Staphorst;1
02XJ;0;163;HELLENDOORN;havo;geen diploma;nat/tech;25PJ;BOL;economie;90303;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);02PY;Kenwerk;150;Deventer;1
02XJ;0;163;HELLENDOORN;havo;geen diploma;nat/tech;25PJ;BOL;techniek;94052;Middenkaderfunctionaris bouw en infra (Middenkaderfunctionaris infra);02QH;Fundeon;163;Hellendoorn;1
02XJ;0;163;HELLENDOORN;havo;geen diploma;nat/gezond;01AA;BOL;economie;95311;Applicatie- en mediaontwikkeling (Applicatieontwikkelaar);00SP;ECABO;163;Hellendoorn;1
02XJ;0;163;HELLENDOORN;havo;geen diploma;nat/gezond;01AA;BOL;zorg en welzijn;22171;Sport en bewegen;02QG;Calibris;163;Hellendoorn;1
