SCHOOLJAAR 2013-2014 IN HET VO (peildatum 1 oktober 2013);;;;;;;SCHOOLJAAR 2014-2015 IN HET MBO (peildatum 1 oktober 2014);;;;;;;;;
BRIN NUMMER;VESTIGINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;LEERWEG MBO;MBO SECTOR;KWALIFICATIE CODE;KWALIFICATIE NAAM;BRIN NUMMER KENNISCENTRUM;NAAM KENNISCENTRUM;GEMEENTENUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00BD;0;627;WADDINXVEEN;havo;geen diploma;ec/maat;25LP;BOL;techniek;95272;Onderhoud- en verbouwbedrijf (Allround ondernemer klussenbedrijf);02PR;Kenteq;627;Waddinxveen;1
00BD;0;627;WADDINXVEEN;havo;geen diploma;cul/maat;00GT;BOL;economie;90933;Assistent-manager internatinale handel (Asistent-manager internationale handel binnendienst);00SE;Kenniscentrum Handel;499;Boskoop;1
00BD;0;627;WADDINXVEEN;havo;geen diploma;cul/maat;25LN;BOL;zorg en welzijn;92631;Pedagogisch Werk (Pedagogisch medewerker 4 jeugdzorg);02QG;Calibris;627;Waddinxveen;1
00BD;0;627;WADDINXVEEN;havo;geen diploma;cul/maat;25LN;BOL;zorg en welzijn;95745;Allround schoonheidsspecialist;16QY;KOC Nederland;595;Reeuwijk;1
00BD;0;627;WADDINXVEEN;havo;geen diploma;cul/maat;25LP;BOL;zorg en welzijn;22173;Schoonheidsspecialist;16QY;KOC Nederland;627;Waddinxveen;1
00BD;0;627;WADDINXVEEN;havo;geen diploma;cul/maat;25MA;BOL;economie;90303;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);02PY;Kenwerk;627;Waddinxveen;1
00BD;0;627;WADDINXVEEN;havo;diploma;ec/maat;01AA;BOL;zorg en welzijn;95530;Verzorgende-IG;02QG;Calibris;627;Waddinxveen;1
00BD;0;627;WADDINXVEEN;havo;diploma;cul/maat;01OE;BOL;landbouw;97590;Dierenartsassistent paraveterinair;25DC;Aequor;627;Waddinxveen;1
00BD;0;627;WADDINXVEEN;havo;diploma;cul/maat;25MA;BOL;economie;94090;Reizen (Verkoper reizen);02PY;Kenwerk;499;Boskoop;1
00BD;0;627;WADDINXVEEN;vwo;geen diploma;ec/maat;25LN;BOL;economie;95311;Applicatie- en mediaontwikkeling (Applicatieontwikkelaar);00SP;ECABO;627;Waddinxveen;1
00CB;0;268;NIJMEGEN;havo;geen diploma;ec/maat;27GT;BOL;economie;90930;Assistent-manager internationale handel;00SE;Kenniscentrum Handel;214;Buren;1
00CB;0;268;NIJMEGEN;havo;diploma;nat/tech;25PM;BOL;techniek;90083;AV-productie (Fotograaf);02QD;Kenniscentrum PMLF;274;Renkum;1
00CB;0;268;NIJMEGEN;havo;diploma;nat/tech;26CC;BOL;landbouw;97090;Manager natuur en recreatie;25DC;Aequor;944;Mook en Middelaar;1
00CB;0;268;NIJMEGEN;havo;diploma;nat/gezond;25PN;BOL;techniek;22086;Mediavormgever;28DV;Combinatie kenniscentra;268;Nijmegen;1
00CB;1;355;ZEIST;havo;geen diploma;nat/tech;26CC;BOL;landbouw;97090;Manager natuur en recreatie;25DC;Aequor;310;De Bilt;1
00CB;1;355;ZEIST;havo;diploma;ec/maat & cul/maat;25LH;BBL;zorg en welzijn;95520;Mbo-Verpleegkundige;02QG;Calibris;355;Zeist;1
00CB;2;772;EINDHOVEN;havo;geen diploma;nat/tech;25MB;BOL;economie;95321;ICT- en mediabeheer (ICT-beheerder);00SP;ECABO;794;Helmond;1
00CB;2;772;EINDHOVEN;havo;geen diploma;nat/gezond;26CC;BOL;landbouw;97090;Manager natuur en recreatie;25DC;Aequor;848;Son en Breugel;1
00DI;2;22;LEEK;havo;geen diploma;nvt;25LW;BOL;techniek;94421;Middenkader engineering (Technicus);02PR;Kenteq;1699;Noordenveld;1
00DI;2;22;LEEK;havo;geen diploma;nat/gezond;25LU;BOL;economie;95321;ICT- en mediabeheer (ICT-beheerder);00SP;ECABO;25;Marum;1
00DI;2;22;LEEK;havo;geen diploma;nat/gezond;25LU;BOL;techniek;94051;Middenkaderfunctionaris bouw en infra (Middenkaderfunctionaris bouw);02QH;Fundeon;25;Marum;1
00DI;2;22;LEEK;havo;geen diploma;nat/gezond;25LU;BOL;zorg en welzijn;95520;Mbo-Verpleegkundige;02QG;Calibris;15;Grootegast;1
00DI;2;22;LEEK;havo;geen diploma;nat/gezond;25LW;BOL;techniek;90240;Operator C;02QD;Kenniscentrum PMLF;22;Leek;1
00DI;2;22;LEEK;havo;geen diploma;ec/maat;08PG;BOL;techniek;94051;Middenkaderfunctionaris bouw en infra (Middenkaderfunctionaris bouw);02QH;Fundeon;25;Marum;1
00DI;2;22;LEEK;havo;geen diploma;ec/maat;25LW;BOL;economie;93200;Financiële beroepen (Financieel administratief medewerker);00SP;ECABO;1699;Noordenveld;1
00DI;2;22;LEEK;havo;diploma;nat/gezond;14NZ;BOL;onbekend;79140;Zorg en welzijn;28DV;Combinatie kenniscentra;22;Leek;1
00DI;2;22;LEEK;havo;diploma;cul/maat;25LW;BOL;economie;22184;Frontofficemedewerker;02PY;Kenwerk;1699;Noordenveld;1
00HI;0;1916;LEIDSCHENDAM-VOORBURG;havo;geen diploma;nat/tech;25MA;BOL;techniek;94421;Middenkader engineering (Technicus);02PR;Kenteq;518;s-Gravenhage;1
00HI;0;1916;LEIDSCHENDAM-VOORBURG;havo;geen diploma;ec/maat;25LN;BOL;economie;93212;Financiële beroepen (Bedrijfsadministrateur);00SP;ECABO;1916;Leidschendam-Voorburg;1
00HI;0;1916;LEIDSCHENDAM-VOORBURG;havo;geen diploma;ec/maat;27GZ;BOL;economie;90303;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);02PY;Kenwerk;1916;Leidschendam-Voorburg;1
00HI;0;1916;LEIDSCHENDAM-VOORBURG;havo;geen diploma;cul/maat;25MA;BOL;zorg en welzijn;22191;Mbo-Verpleegkundige;02QG;Calibris;579;Oegstgeest;1
00HI;0;1916;LEIDSCHENDAM-VOORBURG;havo;geen diploma;cul/maat;25MA;BOL;zorg en welzijn;91310;Doktersassistent;02QG;Calibris;1916;Leidschendam-Voorburg;1
00HI;0;1916;LEIDSCHENDAM-VOORBURG;havo;geen diploma;nat/tech & nat/gezond;25MA;BOL;techniek;91730;Laboratoriummedewerker (Allround laborant);02QD;Kenniscentrum PMLF;1916;Leidschendam-Voorburg;1
00HI;0;1916;LEIDSCHENDAM-VOORBURG;havo;geen diploma;nat/tech & nat/gezond;27GZ;BOL;zorg en welzijn;95520;Mbo-Verpleegkundige;02QG;Calibris;1916;Leidschendam-Voorburg;1
00HI;0;1916;LEIDSCHENDAM-VOORBURG;havo;diploma;ec/maat;25LP;BOL;techniek;92803;Goud- en Zilversmeden (Goudsmid);02PS;SVGB;518;s-Gravenhage;1
00HI;0;1916;LEIDSCHENDAM-VOORBURG;havo;diploma;ec/maat;27GZ;BOL;zorg en welzijn;22171;Sport en bewegen;02QG;Calibris;518;s-Gravenhage;1
00IP;0;394;HAARLEMMERMEER;havo;geen diploma;nat/gezond;25PX;BOL;zorg en welzijn;22171;Sport en bewegen;02QG;Calibris;394;Haarlemmermeer;1
00IP;0;394;HAARLEMMERMEER;havo;diploma;ec/maat;25PX;BOL;techniek;22124;Koopvaardij officier alle schepen;25HV;VTL;394;Haarlemmermeer;1
00IP;0;394;HAARLEMMERMEER;havo;diploma;cul/maat;25PX;BOL;zorg en welzijn;95520;Mbo-Verpleegkundige;02QG;Calibris;394;Haarlemmermeer;1
00JR;0;606;SCHIEDAM;havo;geen diploma;nvt;25LP;BOL;economie;22158;Financiële beroepen;00SP;ECABO;606;Schiedam;1
00JR;0;606;SCHIEDAM;havo;geen diploma;nat/tech;00GT;BOL;economie;95321;ICT- en mediabeheer (ICT-beheerder);00SP;ECABO;622;Vlaardingen;1
00JR;0;606;SCHIEDAM;havo;geen diploma;nat/gezond;25LP;BOL;economie;90303;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);02PY;Kenwerk;606;Schiedam;1
00JR;0;606;SCHIEDAM;havo;geen diploma;nat/gezond;25LP;BOL;techniek;22082;Analist;02QD;Kenniscentrum PMLF;606;Schiedam;1
00JR;0;606;SCHIEDAM;havo;geen diploma;nat/gezond;25LP;BOL;zorg en welzijn;93500;Onderwijsassistent;02QG;Calibris;606;Schiedam;1
00JR;0;606;SCHIEDAM;havo;geen diploma;ec/maat;25LP;BOL;economie;22164;Commercieel medewerker;28DV;Combinatie kenniscentra;606;Schiedam;1
00JR;0;606;SCHIEDAM;havo;geen diploma;cul/maat;00GT;BOL;zorg en welzijn;92620;Pedagogisch Werk (Pedagogisch medewerker 3 kinderopvang);02QG;Calibris;622;Vlaardingen;1
00JR;0;606;SCHIEDAM;havo;geen diploma;cul/maat;27GZ;BOL;zorg en welzijn;95520;Mbo-Verpleegkundige;02QG;Calibris;606;Schiedam;1
00JR;0;606;SCHIEDAM;havo;geen diploma;nat/tech & nat/gezond;23JA;BOL;techniek;90413;Mediavormgever (Grafische vormgeving);02PT;Kenniscentrum GOC;622;Vlaardingen;1
00JR;0;606;SCHIEDAM;havo;diploma;nat/gezond;00GT;BOL;zorg en welzijn;95520;Mbo-Verpleegkundige;02QG;Calibris;606;Schiedam;1
00JR;0;606;SCHIEDAM;havo;diploma;nat/gezond;14YD;BOL;landbouw;97590;Dierenartsassistent paraveterinair;25DC;Aequor;622;Vlaardingen;1
00JR;0;606;SCHIEDAM;havo;diploma;ec/maat;17WH;BBL;economie;95600;Leidinggevende vers (Chef vers);17IJ;SVO;606;Schiedam;1
00JR;0;606;SCHIEDAM;havo;diploma;cul/maat;27GZ;BOL;economie;90303;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);02PY;Kenwerk;606;Schiedam;1
00JT;0;307;AMERSFOORT;havo;geen diploma;nvt;25GV;BOL;landbouw;97730;Recreatiedieren (Ondernemer/manager recreatiedieren);25DC;Aequor;307;Amersfoort;1
00JT;0;307;AMERSFOORT;havo;geen diploma;nvt;30RR;BOL;economie;90534;Medewerker marketing en communicatie (Medewerker evenementenorganisatie);00SP;ECABO;327;Leusden;1
00JT;0;307;AMERSFOORT;havo;geen diploma;nat/tech;01AA;BOL;economie;95311;Applicatie- en mediaontwikkeling (Applicatieontwikkelaar);00SP;ECABO;313;Bunschoten;1
00JT;0;307;AMERSFOORT;havo;geen diploma;nat/tech;25LH;BOL;techniek;91092;Machinebouw Mechatronica (Monteur tester mechatronica);02PR;Kenteq;307;Amersfoort;1
00JT;0;307;AMERSFOORT;havo;geen diploma;nat/gezond;01AA;BOL;zorg en welzijn;22195;Maatschappelijke Zorg;02QG;Calibris;267;Nijkerk;1
00JT;0;307;AMERSFOORT;havo;geen diploma;nat/gezond;25LH;BOL;zorg en welzijn;95520;Mbo-Verpleegkundige;02QG;Calibris;50;Zeewolde;1
00JT;0;307;AMERSFOORT;havo;geen diploma;nat/gezond;25LH;BOL;zorg en welzijn;95520;Mbo-Verpleegkundige;02QG;Calibris;313;Bunschoten;3
00JT;0;307;AMERSFOORT;havo;geen diploma;nat/gezond;30RR;BOL;economie;94810;Toezicht en veiligheid (Handhaver toezicht en veiligheid);00SP;ECABO;313;Bunschoten;1
00JT;0;307;AMERSFOORT;havo;geen diploma;nat/gezond;30RR;BOL;zorg en welzijn;91310;Doktersassistent;02QG;Calibris;313;Bunschoten;1
00JT;0;307;AMERSFOORT;havo;geen diploma;nat/gezond;30RR;BOL;zorg en welzijn;91310;Doktersassistent;02QG;Calibris;327;Leusden;1
00JT;0;307;AMERSFOORT;havo;geen diploma;nat/gezond;30RR;BOL;zorg en welzijn;92661;Maatschappelijke Zorg (Persoonlijk begeleider gehandicaptenzorg);02QG;Calibris;313;Bunschoten;1
00JT;0;307;AMERSFOORT;havo;geen diploma;ec/maat;01AA;BOL;economie;93802;Commercieel medewerker ((Junior) Accountmanager);00SE;Kenniscentrum Handel;267;Nijkerk;1
00JT;0;307;AMERSFOORT;havo;geen diploma;ec/maat;23KG;BOL;techniek;90411;Mediavormgever (Animatie/audiovisuele vormgeving);02PT;Kenniscentrum GOC;307;Amersfoort;1
