SCHOOLJAAR 2011-2012 IN HET VO (peildatum 1 oktober 2011);;;;;;;SCHOOLJAAR 2012-2013 IN HET MBO (peildatum 1 oktober 2012);;;;;;;;;
BRIN NUMMER;VESTIGINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;LEERWEG MBO;MBO SECTOR;KWALIFICATIE NAAM;KWALIFICATIE CODE;BRIN NUMMER KENNISCENTRUM;NAAM KENNISCENTRUM;GEMEENTENUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00BD;0;627;Waddinxveen;havo;geen diploma;nat/gezond;25LN;BOL;combinatie;Mbo-Verpleegkundige;95520;02QG;Calibris;499;Boskoop;1
00BD;0;627;Waddinxveen;havo;geen diploma;ec/maat;25MA;BBL;economie ;Reizen (verkoper reizen);94090;02PY;Kenwerk;499;Boskoop;1
00BD;0;627;Waddinxveen;havo;geen diploma;ec/maat;26CC;BOL;landbouw ;Teelt 4 (Manager teelt);97681;25DC;Aequor;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;geen diploma;cul/maat;25LP;BOL;combinatie;Sport en bewegen (Sport- en bewegingsleider);95280;02QG;Calibris;1666;Zevenhuizen-Moerkapelle;1
00BD;0;627;Waddinxveen;havo;geen diploma;cul/maat;30RN;BOL;economie ;Medewerker marketing en communicatie (Assisent Communicatiemedewerker);90531;00SP;ECABO;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;geen diploma;ec/maat & cul/maat;25LN;BOL;economie ;Financiele beroepen (Bedrijfsadministrateur);93212;00SP;ECABO;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;geen diploma;ec/maat & cul/maat;25MA;BOL;economie ;Leisure & hospitality (Leisure & hospitality host);94120;02PY;Kenwerk;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;diploma;nat/gezond;23JA;BOL;techniek ;Mediavormgever (Grafische vormgeving);90413;02PT;Kenniscentrum GOC;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;diploma;ec/maat;01AA;BOL;techniek ;Artiest (Musical);90033;02PT;Kenniscentrum GOC;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;diploma;cul/maat;23JA;BOL;techniek ;Mediavormgever (Grafische vormgeving);90413;02PT;Kenniscentrum GOC;1672;Rijnwoude;1
00BD;0;627;Waddinxveen;havo;diploma;cul/maat;25LP;BOL;economie ;Reizen (Manager verkoop reizen);94100;02PY;Kenwerk;627;Waddinxveen;1
