SCHOOLJAAR 2012-2013 IN HET VO (peildatum 1 oktober 2012);;;;;;;SCHOOLJAAR 2013-2014 IN HET MBO (peildatum 1 oktober 2013);;;;;;;;;
BRIN NUMMER;VESTIGINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;LEERWEG MBO;MBO SECTOR;KWALIFICATIE NAAM;KWALIFICATIE CODE;BRIN NUMMER KENNISCENTRUM;NAAM KENNISCENTRUM;GEMEENTENUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00AQ;0;1714;Sluis;havo;geen diploma;ec/maat;25PV;BOL;zorg en welzijn;Sport en bewegen;22171;02QG;Calibris;1714;Sluis;1
00AQ;0;1714;Sluis;havo;geen diploma;cul/maat;25PV;BOL;zorg en welzijn;Maatschappelijke Zorg (Persoonlijk begeleider specifieke doelgroepen);92662;02QG;Calibris;1714;Sluis;1
00AQ;0;1714;Sluis;havo;geen diploma;ec/maat & cul/maat;25LX;BOL;zorg en welzijn;Sociaal-cultureel werker;91370;02QG;Calibris;758;Breda;1
00BD;0;627;Waddinxveen;havo;geen diploma;nat/gezond;25MA;BOL;economie;Kok (Zelfstandig werkend kok);95420;02PY;Kenwerk;1666;Zevenhuizen-Moerkapelle;1
00BD;0;627;Waddinxveen;havo;geen diploma;nat/gezond;25MA;BOL;zorg en welzijn;Mbo-Verpleegkundige;22191;02QG;Calibris;499;Boskoop;1
00BD;0;627;Waddinxveen;havo;geen diploma;ec/maat;00GT;BOL;economie;Frontofficemedewerker;22184;02PY;Kenwerk;1666;Zevenhuizen-Moerkapelle;1
00BD;0;627;Waddinxveen;havo;geen diploma;ec/maat;02PG;BOL;techniek;Creatief Vakmanschap;22068;28DV;Combinatie kenniscen;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;geen diploma;ec/maat;23JA;BOL;techniek;AV-specialist;95702;02PT;Kenniscentrum GOC;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;geen diploma;ec/maat;25LN;BOL;economie;Juridisch medewerker Zakelijke dienstverlening;94891;00SP;ECABO;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;geen diploma;ec/maat;25LN;BOL;zorg en welzijn;Pedagogisch Werk (Pedagogisch medewerker 3 kinderopvang);92620;02QG;Calibris;499;Boskoop;1
00BD;0;627;Waddinxveen;havo;geen diploma;ec/maat;25LN;BOL;zorg en welzijn;Mbo-Verpleegkundige;95520;02QG;Calibris;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;geen diploma;cul/maat;00GT;BOL;economie;Medewerker marketing en communicatie;22166;00SP;ECABO;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;geen diploma;cul/maat;25LN;BBL;zorg en welzijn;Mbo-Verpleegkundige;95520;02QG;Calibris;499;Boskoop;1
00BD;0;627;Waddinxveen;havo;geen diploma;cul/maat;25MA;BOL;zorg en welzijn;Mbo-Verpleegkundige;22191;02QG;Calibris;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;geen diploma;cul/maat;25PZ;BOL;techniek;Luchtvaartdienstverlener;91850;25HV;VTL;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;geen diploma;cul/maat;27GZ;BOL;economie;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);90303;02PY;Kenwerk;1666;Zevenhuizen-Moerkapelle;1
00BD;0;627;Waddinxveen;havo;geen diploma;ec/maat & cul/maat;25LN;BOL;economie;Commercieel medewerker ((Junior) Accountmanager);93802;00SE;Kenniscentrum Handel;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;diploma;ec/maat;02PG;BOL;economie;Interieuradviseur;90940;00SE;Kenniscentrum Handel;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;diploma;cul/maat;02PG;BOL;economie;Interieuradviseur;90940;00SE;Kenniscentrum Handel;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;diploma;cul/maat;25LN;BOL;zorg en welzijn;Kapper (Junior Kapper);95120;16QY;KOC Nederland;627;Waddinxveen;1
00BD;0;627;Waddinxveen;havo;diploma;cul/maat;25MA;BOL;zorg en welzijn;Mbo-Verpleegkundige;22191;02QG;Calibris;627;Waddinxveen;1
00BD;2;499;Boskoop;havo;geen diploma;nvt/geen profiel;25LN;BOL;zorg en welzijn;ovd07 Onderwijsassistent;93500;02QG;Calibris;499;Boskoop;1
00CB;0;268;Nijmegen;havo;geen diploma;ec/maat;25LF;BOL;techniek;Artiest (Drama);90032;02PT;Kenniscentrum GOC;828;Oss;1
00CB;0;268;Nijmegen;havo;geen diploma;ec/maat;25PN;BOL;zorg en welzijn;Sport en bewegen (Sport- en bewegingsleider);95280;02QG;Calibris;268;Nijmegen;1
00CB;0;268;Nijmegen;havo;geen diploma;cul/maat;25LF;BOL;zorg en welzijn;Sport en bewegen (Sport- en bewegingsleider);95280;02QG;Calibris;268;Nijmegen;1
00CB;0;268;Nijmegen;havo;geen diploma;cul/maat;25MA;BOL;zorg en welzijn;Sociaal-cultureel werker;91370;02QG;Calibris;546;Leiden;1
00CB;0;268;Nijmegen;havo;geen diploma;cul/maat;25PN;BOL;zorg en welzijn;ovd07 Onderwijsassistent;93500;02QG;Calibris;268;Nijmegen;1
00CB;0;268;Nijmegen;havo;diploma;nat/tech;02PG;BOL;techniek;Creatief Vakmanschap;22068;28DV;Combinatie kenniscen;268;Nijmegen;1
00CB;0;268;Nijmegen;havo;diploma;ec/maat;25PM;BOL;techniek;AV-productie (Fotograaf);90083;02QD;Kenniscentrum PMLF;202;Arnhem;1
00CB;0;268;Nijmegen;havo;diploma;cul/maat;30BC;BOL;techniek;Creatief Vakmanschap;22068;28DV;Combinatie kenniscen;796;s-Hertogenbosch;1
00CB;1;355;Zeist;havo;geen diploma;cul/maat;25LH;BOL;zorg en welzijn;ovd07 Onderwijsassistent;93500;02QG;Calibris;312;Bunnik;1
00CB;1;355;Zeist;havo;geen diploma;cul/maat;26CC;BOL;landbouw;Recreatiedieren (Ondernemer/manager recreatiedieren);97730;25DC;Aequor;355;Zeist;1
00CB;2;772;Eindhoven;havo;geen diploma;ec/maat;25LV;BOL;economie;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);90303;02PY;Kenwerk;820;Nuenen, Gerwen en Nederwetten;1
00CB;2;772;Eindhoven;havo;diploma;cul/maat;30BC;BOL;techniek;Vormgeving ruimtelijke presentatie en communicatie;22093;02FW;Savantis;772;Eindhoven;1
00DI;2;22;Leek;havo;geen diploma;nat/tech;25LU;BOL;techniek;Middenkaderfunctionaris bouw en infra (Middenkaderfunctionaris Bouw);94051;02QH;Fundeon;25;Marum;1
00DI;2;22;Leek;havo;geen diploma;nat/tech;25LU;BOL;techniek;Middenkader engineering (Technicus);94421;02PR;Kenteq;1699;Noordenveld;1
00DI;2;22;Leek;havo;geen diploma;nat/gezond;08PG;BOL;economie;Financiele beroepen;22158;00SP;ECABO;25;Marum;1
00DI;2;22;Leek;havo;geen diploma;nat/gezond;25LU;BOL;economie;ICT- en mediabeheer (ICT-beheerder);95321;00SP;ECABO;25;Marum;1
00DI;2;22;Leek;havo;geen diploma;nat/gezond;25LU;BOL;zorg en welzijn;Mbo-Verpleegkundige;95520;02QG;Calibris;90;Smallingerland;1
00DI;2;22;Leek;havo;geen diploma;nat/gezond;25LW;BOL;economie;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);90303;02PY;Kenwerk;22;Leek;1
00DI;2;22;Leek;havo;geen diploma;nat/gezond;25LW;BOL;economie;Leisure & hospitality (Leisure & hospitality executive);94130;02PY;Kenwerk;25;Marum;1
00DI;2;22;Leek;havo;geen diploma;nat/gezond;25LW;BOL;techniek;Analist;22082;02QD;Kenniscentrum PMLF;22;Leek;1
00DI;2;22;Leek;havo;geen diploma;nat/gezond;25LW;BOL;combinatie;ICT- en mediabeheer;22263;28DV;Combinatie kenniscen;22;Leek;1
00DI;2;22;Leek;havo;geen diploma;ec/maat;14NZ;BOL;economie;Financiele beroepen (Bedrijfsadministrateur);93212;00SP;ECABO;22;Leek;1
00DI;2;22;Leek;havo;geen diploma;ec/maat;25LU;BOL;economie;Commercieel medewerker (Commercieel medewerker binnendienst);90112;00SE;Kenniscentrum Handel;22;Leek;1
00DI;2;22;Leek;havo;geen diploma;ec/maat;25LU;BOL;zorg en welzijn;Sport en bewegen;22171;02QG;Calibris;22;Leek;1
00DI;2;22;Leek;havo;geen diploma;ec/maat;25LW;BOL;economie;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);90303;02PY;Kenwerk;1699;Noordenveld;1
00DI;2;22;Leek;havo;geen diploma;ec/maat;25LW;BOL;economie;Financiele beroepen (Financieel administratief medewerker);93200;00SP;ECABO;22;Leek;1
00DI;2;22;Leek;havo;geen diploma;ec/maat;25LW;BOL;zorg en welzijn;Pedagogisch Werk;22197;02QG;Calibris;25;Marum;1
00DI;2;22;Leek;havo;geen diploma;nat/tech & nat/gezond;08PG;BOL;techniek;Middenkader engineering (Technicus);94421;02PR;Kenteq;15;Grootegast;1
00DI;2;22;Leek;havo;geen diploma;nat/tech & nat/gezond;25LU;BOL;techniek;Middenkaderfunctionaris bouw en infra (Middenkaderfunctionaris Bouw);94051;02QH;Fundeon;22;Leek;1
00DI;2;22;Leek;havo;geen diploma;nat/tech & nat/gezond;25LW;BOL;zorg en welzijn;Pedagogisch Werk;22197;02QG;Calibris;22;Leek;1
00HI;0;1916;Leidschendam-Voorburg;havo;geen diploma;ec/maat;01OE;BOL;landbouw;Paardensport (Manager paardensportbedrijf);97242;25DC;Aequor;1916;Leidschendam-Voorburg;1
00HI;0;1916;Leidschendam-Voorburg;havo;geen diploma;ec/maat;27GZ;BOL;economie;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);90303;02PY;Kenwerk;603;Rijswijk;1
00HI;0;1916;Leidschendam-Voorburg;havo;geen diploma;ec/maat;27GZ;BOL;economie;Kok (Zelfstandig werkend kok);95420;02PY;Kenwerk;1916;Leidschendam-Voorburg;1
00HI;0;1916;Leidschendam-Voorburg;havo;geen diploma;ec/maat;27GZ;BOL;techniek;Middenkader engineering (Technicus);94421;02PR;Kenteq;1916;Leidschendam-Voorburg;1
00HI;0;1916;Leidschendam-Voorburg;havo;diploma;ec/maat;02PG;BOL;economie;Interieuradviseur;90940;00SE;Kenniscentrum Handel;518;s-Gravenhage;1
00HI;0;1916;Leidschendam-Voorburg;havo;diploma;ec/maat;05EA;BOL;techniek;Operationele techniek (Allround Operationeel Technicus);91680;02QD;Kenniscentrum PMLF;626;Voorschoten;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;nat/tech;02PA;BOL;techniek;Podium- en evenemententechniek;22090;02PT;Kenniscentrum GOC;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;nat/tech;25PX;BOL;techniek;Middenkaderfunctionaris bouw en infra (Middenkaderfunctionaris Bouw);94051;02QH;Fundeon;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;nat/tech;25PZ;BOL;zorg en welzijn;Mbo-Verpleegkundige;95520;02QG;Calibris;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;nat/gezond;01OE;BOL;landbouw;Recreatiedieren (Ondernemer/manager recreatiedieren);97730;25DC;Aequor;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;nat/gezond;25PX;BOL;zorg en welzijn;Doktersassistent;91310;02QG;Calibris;392;Haarlem;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;nat/gezond;25PZ;BOL;economie;Medewerker marketing en communicatie (Marketing medewerker);90532;00SP;ECABO;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;ec/maat;25PX;BOL;economie;Commercieel medewerker (Commercieel medewerker binnendienst);90112;00SE;Kenniscentrum Handel;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;ec/maat;25PX;BOL;economie;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);90303;02PY;Kenwerk;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;ec/maat;25PX;BOL;zorg en welzijn;Pedagogisch Werk;22197;02QG;Calibris;394;Haarlemmermeer;2
00IP;0;394;Haarlemmermeer;havo;geen diploma;ec/maat;25PZ;BOL;economie;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);90303;02PY;Kenwerk;394;Haarlemmermeer;2
00IP;0;394;Haarlemmermeer;havo;geen diploma;ec/maat;25PZ;BOL;economie;Medewerker marketing en communicatie (Marketing medewerker);90532;00SP;ECABO;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;ec/maat;25PZ;BOL;economie;Kok;90760;02PY;Kenwerk;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;ec/maat;25PZ;BOL;economie;Facilitair leidinggevende;95750;02PY;Kenwerk;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;ec/maat;25PZ;BOL;techniek;Medewerker design (Medewerker styling);94471;00SE;Kenniscentrum Handel;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;geen diploma;cul/maat;25PX;BOL;zorg en welzijn;Mbo-Verpleegkundige;95520;02QG;Calibris;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;diploma;ec/maat;25PX;BOL;zorg en welzijn;Mbo-Verpleegkundige;95520;02QG;Calibris;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;diploma;ec/maat;25PZ;BOL;techniek;Productiecoordinator (Commercieel medewerker fashion);93781;00SE;Kenniscentrum Handel;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;havo;diploma;nat/tech & nat/gezond;02PA;BOL;techniek;Game artist;22085;02PT;Kenniscentrum GOC;394;Haarlemmermeer;1
00IP;0;394;Haarlemmermeer;vwo;geen diploma;nat/gezond;25MA;BOL;techniek;Middenkaderfunctionaris bouw en infra (Middenkaderfunctionaris Infra);94052;02QH;Fundeon;394;Haarlemmermeer;1
00JR;0;606;Schiedam;havo;geen diploma;nvt/geen profiel;00GT;BOL;combinatie;Arbeidsmarktgekwalificeerd assistent;90440;28DV;Combinatie kenniscen;606;Schiedam;1
00JR;0;606;Schiedam;havo;geen diploma;nvt/geen profiel;02PG;BOL;techniek;Meubelmaker/(scheeps)interieurbouwer (Ondernemer meubelindustrie/(scheeps)inter;94592;04IN;SH&M;622;Vlaardingen;1
00JR;0;606;Schiedam;havo;geen diploma;nat/gezond;05EA;BOL;techniek;Havenlogistiek (Manager havenlogistiek);95260;25HV;VTL;606;Schiedam;1
00JR;0;606;Schiedam;havo;geen diploma;nat/gezond;20MQ;BOL;zorg en welzijn;Apothekersassistent;91300;02QG;Calibris;606;Schiedam;1
00JR;0;606;Schiedam;havo;geen diploma;nat/gezond;25LP;BOL;techniek;Analist;22082;02QD;Kenniscentrum PMLF;606;Schiedam;1
00JR;0;606;Schiedam;havo;geen diploma;ec/maat;00GT;BOL;economie;Verkoopspecialist (Verkoopspecialist detailhandel);90383;00SE;Kenniscentrum Handel;606;Schiedam;1
00JR;0;606;Schiedam;havo;geen diploma;ec/maat;25LP;BOL;economie;Commercieel medewerker;22164;28DV;Combinatie kenniscen;606;Schiedam;1
00JR;0;606;Schiedam;havo;geen diploma;cul/maat;25LP;BOL;economie;Reizen;22185;02PY;Kenwerk;606;Schiedam;1
00JR;0;606;Schiedam;havo;geen diploma;cul/maat;25MA;BOL;zorg en welzijn;Pedagogisch Werk;22197;02QG;Calibris;622;Vlaardingen;1
00JR;0;606;Schiedam;havo;geen diploma;nat/tech & nat/gezond;25LP;BOL;techniek;Analist;22082;02QD;Kenniscentrum PMLF;606;Schiedam;1
00JR;0;606;Schiedam;havo;geen diploma;ec/maat & cul/maat;00GT;BOL;techniek;Artiest (Muziek);90038;02PT;Kenniscentrum GOC;606;Schiedam;1
00JR;0;606;Schiedam;havo;diploma;nat/gezond;00GT;BOL;economie;Kok (Zelfstandig werkend kok);95420;02PY;Kenwerk;599;Rotterdam;1
00JR;0;606;Schiedam;havo;diploma;ec/maat & cul/maat;27GZ;BOL;techniek;Medewerker design (Medewerker styling);94471;00SE;Kenniscentrum Handel;606;Schiedam;1
00JR;0;606;Schiedam;vwo;geen diploma;nat/tech & nat/gezond;25LP;BOL;techniek;Analist;22082;02QD;Kenniscentrum PMLF;606;Schiedam;1
00JT;0;307;Amersfoort;havo;geen diploma;nvt/geen profiel;01AA;BOL;economie;Commercieel medewerker ((Junior) Accountmanager);93802;00SE;Kenniscentrum Handel;313;Bunschoten;1
00JT;0;307;Amersfoort;havo;geen diploma;nvt/geen profiel;01AA;BOL;zorg en welzijn;Maatschappelijke Zorg;22195;02QG;Calibris;267;Nijkerk;1
00JT;0;307;Amersfoort;havo;geen diploma;nvt/geen profiel;30RR;BOL;zorg en welzijn;Sport en bewegen (Sport- en bewegingsleider);95280;02QG;Calibris;313;Bunschoten;1
00JT;0;307;Amersfoort;havo;geen diploma;nat/tech;23KG;BOL;techniek;Gaming artist;93220;02PT;Kenniscentrum GOC;267;Nijkerk;1
00JT;0;307;Amersfoort;havo;geen diploma;nat/tech;25LH;BOL;economie;Applicatie- en mediaontwikkeling (Applicatieontwikkelaar);95311;00SP;ECABO;307;Amersfoort;1
00JT;0;307;Amersfoort;havo;geen diploma;nat/tech;25PJ;BOL;techniek;Autotechniek (Technisch specialist personenautos);93430;02FZ;Innovam Groep;243;Harderwijk;1
00JT;0;307;Amersfoort;havo;geen diploma;nat/tech;25PJ;BOL;techniek;Technicus mechanica;95764;02PR;Kenteq;307;Amersfoort;1
00JT;0;307;Amersfoort;havo;geen diploma;nat/tech;30RR;BOL;economie;Medewerker marketing en communicatie (Marketing medewerker);90532;00SP;ECABO;313;Bunschoten;1
00JT;0;307;Amersfoort;havo;geen diploma;nat/gezond;25LH;BOL;zorg en welzijn;Sport en bewegen;22171;02QG;Calibris;327;Leusden;1
00JT;0;307;Amersfoort;havo;geen diploma;nat/gezond;25PJ;BOL;zorg en welzijn;Maatschappelijke Zorg;22195;02QG;Calibris;307;Amersfoort;1
00JT;0;307;Amersfoort;havo;geen diploma;nat/gezond;25PJ;BOL;zorg en welzijn;Pedagogisch Werk (Gespecialiseerd pedagogisch medewerker 4  kinderopvang);92632;02QG;Calibris;273;Putten;1
00JT;0;307;Amersfoort;havo;geen diploma;ec/maat;01AA;BOL;zorg en welzijn;Pedagogisch Werk;22197;02QG;Calibris;313;Bunschoten;1
00JT;0;307;Amersfoort;havo;geen diploma;ec/maat;25GV;BOL;landbouw;Productiedieren (Melkveehouder);97713;25DC;Aequor;313;Bunschoten;1
00JT;0;307;Amersfoort;havo;geen diploma;ec/maat;25LH;BOL;economie;Medewerker marketing en communicatie;22166;00SP;ECABO;313;Bunschoten;1
00JT;0;307;Amersfoort;havo;geen diploma;ec/maat;25LH;BOL;zorg en welzijn;Mbo-Verpleegkundige;95520;02QG;Calibris;307;Amersfoort;1
00JT;0;307;Amersfoort;havo;geen diploma;ec/maat;25PZ;BOL;techniek;Middenkader engineering (Technicus);94421;02PR;Kenteq;313;Bunschoten;2
00JT;0;307;Amersfoort;havo;geen diploma;ec/maat;30RN;BOL;techniek;Middenkaderfunctionaris bouw en infra (Middenkaderfunctionaris Bouw);94051;02QH;Fundeon;203;Barneveld;1
00JT;0;307;Amersfoort;havo;geen diploma;ec/maat;30RR;BOL;economie;Financiele beroepen (Bedrijfsadministrateur);93212;00SP;ECABO;313;Bunschoten;1
00JT;0;307;Amersfoort;havo;geen diploma;ec/maat;30RR;BOL;economie;Commercieel medewerker ((Junior) Accountmanager);93802;00SE;Kenniscentrum Handel;313;Bunschoten;1
00JT;0;307;Amersfoort;havo;geen diploma;ec/maat;30RR;BOL;economie;Juridisch medewerker Zakelijke dienstverlening;94891;00SP;ECABO;313;Bunschoten;1
00JT;0;307;Amersfoort;havo;geen diploma;cul/maat;23KG;BOL;techniek;Allround DTP-er;95705;02PT;Kenniscentrum GOC;307;Amersfoort;1
00JT;0;307;Amersfoort;havo;geen diploma;cul/maat;25LH;BOL;techniek;Mediavormgever;22086;28DV;Combinatie kenniscen;313;Bunschoten;1
00JT;0;307;Amersfoort;havo;diploma;nat/tech;27DV;BOL;techniek;Autotechniek (Technisch specialist personenautos);93430;02FZ;Innovam Groep;313;Bunschoten;1
00JT;0;307;Amersfoort;havo;diploma;nat/gezond;25LH;BOL;zorg en welzijn;Mbo-Verpleegkundige;95520;02QG;Calibris;307;Amersfoort;1
00JT;0;307;Amersfoort;havo;diploma;nat/gezond;25LH;BBL;zorg en welzijn;Mbo-Verpleegkundige;95520;02QG;Calibris;313;Bunschoten;1
00JT;0;307;Amersfoort;havo;diploma;ec/maat;25PZ;BOL;techniek;Middenkader engineering (Technicus);94421;02PR;Kenteq;313;Bunschoten;1
