SCHOOLJAAR 2012-2013 IN HET VO (peildatum 1 oktober 2012);;;;;;;SCHOOLJAAR 2013-2014 IN HET MBO (peildatum 1 oktober 2013);;;;;;;;;
BRIN NUMMER;VESTIGINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;LEERWEG MBO;MBO SECTOR;KWALIFICATIE NAAM;KWALIFICATIE CODE;BRIN NUMMER KENNISCENTRUM;NAAM KENNISCENTRUM;GEMEENTENUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00AH;0;153;Enschede;havo;geen diploma;nvt/geen profiel;25PJ;BOL;techniek;AV-specialist;95702;02PT;Kenniscentrum GOC;153;Enschede;1
00AH;0;153;Enschede;havo;geen diploma;nat/gezond;27YU;BOL;economie;Medewerker marketing en communicatie;22166;00SP;ECABO;153;Enschede;1
00AH;0;153;Enschede;havo;geen diploma;nat/gezond;27YU;BOL;zorg en welzijn;Mbo-Verpleegkundige;95520;02QG;Calibris;168;Losser;1
00AH;0;153;Enschede;havo;geen diploma;ec/maat;27YU;BOL;economie;Medewerker marketing en communicatie;22166;00SP;ECABO;153;Enschede;1
00AH;0;153;Enschede;havo;geen diploma;ec/maat;27YU;BOL;economie;Verkoopspecialist (Verkoopspecialist detailhandel);90383;00SE;Kenniscentrum Handel;153;Enschede;1
00AH;0;153;Enschede;havo;geen diploma;ec/maat;27YU;BOL;techniek;Middenkader engineering (Technicus);94421;02PR;Kenteq;168;Losser;1
00AH;7;153;Enschede;havo;geen diploma;nat/gezond;01IC;BOL;landbouw;Productiedieren (Melkveehouder);97713;25DC;Aequor;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;nat/gezond;25GV;BOL;landbouw;Recreatiedieren (Ondernemer/manager recreatiedieren);97730;25DC;Aequor;203;Barneveld;1
00AH;7;153;Enschede;havo;geen diploma;nat/gezond;27DV;BOL;zorg en welzijn;Pedagogisch Werk;22197;02QG;Calibris;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;nat/gezond;27YU;BOL;economie;Commercieel medewerker (Commercieel medewerker binnendienst);90112;00SE;Kenniscentrum Handel;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;nat/gezond;27YU;BOL;economie;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);90303;02PY;Kenwerk;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;nat/gezond;27YU;BOL;economie;Financiele beroepen (Financieel administratief medewerker);93200;00SP;ECABO;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;nat/gezond;27YU;BOL;economie;Frontofficemedewerker (Frontofficemanager);94072;02PY;Kenwerk;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;nat/gezond;27YU;BOL;zorg en welzijn;Sport en bewegen;22171;02QG;Calibris;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;nat/gezond;27YU;BOL;zorg en welzijn;Mbo-Verpleegkundige;95520;02QG;Calibris;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;ec/maat;27YU;BOL;economie;Ondernemer horeca/bakkerij (Manager/ondernemer horeca);90303;02PY;Kenwerk;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;ec/maat;27YU;BOL;economie;Frontofficemedewerker (Frontofficemanager);94072;02PY;Kenwerk;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;ec/maat;27YU;BOL;economie;Facilitair leidinggevende;95750;02PY;Kenwerk;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;ec/maat;27YU;BOL;techniek;Mediavormgever;22086;28DV;Combinatie kenniscen;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;ec/maat;27YU;BOL;zorg en welzijn;Apothekersassistent;91300;02QG;Calibris;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;ec/maat;27YU;BOL;zorg en welzijn;Tandartsassistent;91410;02QG;Calibris;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;ec/maat;27YU;BOL;zorg en welzijn;Maatschappelijke Zorg (Persoonlijk begeleider specifieke doelgroepen);92662;02QG;Calibris;158;Haaksbergen;1
00AH;7;153;Enschede;havo;geen diploma;ec/maat;27YU;BOL;combinatie;Informatie en communicatietechnologie;79050;28DV;Combinatie kenniscen;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;cul/maat;27YU;BOL;economie;Manager handel (Filiaalmanager);93492;00SE;Kenniscentrum Handel;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;cul/maat;27YU;BOL;techniek;Mediavormgever;22086;28DV;Combinatie kenniscen;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;cul/maat;27YU;BOL;techniek;AV-productie (Fotograaf);90076;02FW;Savantis;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;cul/maat;27YU;BOL;zorg en welzijn;Pedagogisch Werk (Gespecialiseerd pedagogisch medewerker 4  kinderopvang);92632;02QG;Calibris;153;Enschede;1
00AH;7;153;Enschede;havo;geen diploma;cul/maat;27YU;BOL;zorg en welzijn;Maatschappelijke Zorg (Persoonlijk begeleider specifieke doelgroepen);92662;02QG;Calibris;153;Enschede;1
00AH;7;153;Enschede;havo;diploma;nat/gezond;27YU;BOL;economie;Medewerker marketing en communicatie;22166;00SP;ECABO;164;Hengelo;1
00AH;7;153;Enschede;havo;diploma;nat/gezond;27YU;BOL;zorg en welzijn;Sport en bewegen (Sport- en bewegingscoordinator/ Trainer/coach);95294;02QG;Calibris;168;Losser;1
00AH;7;153;Enschede;havo;diploma;nat/gezond;27YU;BOL;zorg en welzijn;Sport en bewegen (Sport- en bewegingscoordinator/ Trainer/coach);95294;02QG;Calibris;294;Winterswijk;1
00AH;7;153;Enschede;havo;diploma;ec/maat;27YU;BOL;economie;Financiele beroepen (Financieel administratief medewerker);93200;00SP;ECABO;153;Enschede;1
00AQ;0;1714;Sluis;havo;geen diploma;nvt/geen profiel;25PV;BOL;techniek;Middenkaderfunctionaris bouw en infra (Middenkaderfunctionaris Infra);94052;02QH;Fundeon;1714;Sluis;1
00AQ;0;1714;Sluis;havo;geen diploma;nat/gezond;25PV;BOL;techniek;Scheepswerktuigkundige alle schepen;95729;25HV;VTL;1714;Sluis;1
00AQ;0;1714;Sluis;havo;geen diploma;nat/gezond;25PV;BOL;zorg en welzijn;ovd07 Onderwijsassistent;93500;02QG;Calibris;1714;Sluis;1
00AQ;0;1714;Sluis;havo;geen diploma;ec/maat;25PV;BOL;economie;Frontofficemedewerker (Informatiemedewerker);90621;02PY;Kenwerk;1714;Sluis;1
