"Investeringen in vaste activa naar type en regio; nationale rekeningen"
"";"Onderwerpen";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa"
"";"Onderwerpen";"Woningen";"Bedrijfsgebouwen";"Grond-weg- en waterbouwkundige werken";"Vervoermiddelen";"Machines en installaties";"In cultuur gebrachte activa";"Overdrachtskosten op grond";"Computerprogrammatuur en databanken";"Onderzoek en ontwikkeling";"Overige investeringen"
"Regio's";"Perioden";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro"
"Gelderland (PV)";"1995";"2210";"1290";"818";"551";"1057";"92";"100";"406";"716";"678"
"Gelderland (PV)";"2010";"3797";"2345";"1616";"573";"1157";"58";"161";"1517";"1142";"1019"
"Gelderland (PV)";"2011";"3672";"3161";"2174";"686";"1274";"45";"167";"1526";"1204";"1204"
"Gelderland (PV)";"2012";"3264";"2487";"1724";"763";"1327";"57";"161";"1579";"1212";"1045"
"Gelderland (PV)";"2013*";"2881";"2032";"1859";"627";"1285";"75";"137";"1555";"1225";"1032"
"Utrecht (PV)";"1995";"1204";"838";"762";"766";"540";"29";"92";"332";"440";"591"
"Utrecht (PV)";"2010";"2297";"1676";"1997";"1345";"759";"20";"158";"1506";"833";"913"
"Utrecht (PV)";"2011";"2438";"2106";"1522";"1203";"1118";"15";"159";"1490";"841";"1063"
"Utrecht (PV)";"2012";"1641";"1444";"1520";"1379";"873";"19";"149";"1550";"849";"958"
"Utrecht (PV)";"2013*";"1470";"1665";"1766";"1168";"851";"25";"132";"1544";"858";"1187"
"Noord-Holland (PV)";"1995";"2729";"1469";"929";"1714";"1539";"18";"184";"781";"910";"1312"
"Noord-Holland (PV)";"2010";"4825";"3596";"1814";"1606";"2296";"13";"379";"3274";"1983";"2372"
"Noord-Holland (PV)";"2011";"4224";"3133";"2122";"2095";"2327";"10";"389";"3381";"2008";"2374"
"Noord-Holland (PV)";"2012";"3582";"2998";"1843";"2135";"1804";"12";"380";"3434";"2083";"2423"
"Noord-Holland (PV)";"2013*";"3302";"3139";"1670";"1655";"2175";"16";"317";"3430";"2098";"2491"
"Zuid-Holland (PV)";"1995";"3717";"2379";"1647";"1482";"2178";"24";"215";"880";"1317";"1393"
"Zuid-Holland (PV)";"2010";"6598";"4661";"3994";"2387";"3790";"15";"374";"3465";"2332";"2628"
"Zuid-Holland (PV)";"2011";"5503";"4404";"5202";"2302";"4240";"12";"392";"3422";"2432";"2675"
"Zuid-Holland (PV)";"2012";"4678";"4308";"3649";"1896";"4055";"14";"374";"3518";"2405";"2595"
"Zuid-Holland (PV)";"2013*";"3816";"3734";"4211";"2316";"3136";"18";"310";"3487";"2422";"2636"
"Zeeland (PV)";"1995";"425";"221";"72";"129";"727";"49";"17";"83";"163";"117"
"Zeeland (PV)";"2010";"754";"324";"410";"302";"450";"36";"24";"243";"199";"177"
"Zeeland (PV)";"2011";"747";"372";"267";"500";"714";"28";"26";"241";"180";"219"
"Zeeland (PV)";"2012";"760";"405";"317";"259";"516";"35";"26";"244";"182";"189"
"Zeeland (PV)";"2013*";"552";"327";"223";"261";"675";"48";"23";"238";"183";"201"
"Noord-Brabant (PV)";"1995";"2781";"1431";"887";"803";"2012";"50";"129";"593";"1148";"918"
"Noord-Brabant (PV)";"2010";"4944";"2800";"1932";"806";"2221";"36";"197";"2057";"2146";"1434"
"Noord-Brabant (PV)";"2011";"4358";"2835";"2031";"1591";"2938";"28";"212";"2093";"2228";"1474"
"Noord-Brabant (PV)";"2012";"3812";"2586";"2139";"1186";"2844";"35";"199";"2164";"2148";"1448"
"Noord-Brabant (PV)";"2013*";"3651";"3058";"2036";"1500";"2372";"44";"169";"2148";"2171";"1411"
"Limburg (PV)";"1995";"1099";"606";"419";"246";"1020";"27";"54";"227";"395";"387"
"Limburg (PV)";"2010";"1518";"1085";"423";"235";"894";"28";"80";"792";"745";"520"
"Limburg (PV)";"2011";"1362";"1052";"458";"319";"1434";"22";"86";"789";"799";"606"
"Limburg (PV)";"2012";"1087";"1049";"721";"441";"1368";"27";"82";"798";"792";"567"
"Limburg (PV)";"2013*";"944";"1607";"548";"315";"1030";"35";"71";"797";"796";"566"
"Oost-Groningen (CR)";"1995";"114";"40";"73";"27";"119";"2";"6";"17";"26";"34"
"Oost-Groningen (CR)";"2010";"141";"104";"87";"28";"85";"1";"8";"54";"35";"40"
"Oost-Groningen (CR)";"2011";"127";"119";"83";"29";"97";"1";"8";"58";"47";"50"
"Oost-Groningen (CR)";"2012";"78";"91";"77";"31";"116";"1";"8";"57";"48";"45"
"Oost-Groningen (CR)";"2013*";"53";"95";"92";"30";"87";"2";"6";"56";"48";"45"
"Delfzijl en omgeving (CR)";"1995";"18";"31";"8";"25";"73";"2";"1";"10";"17";"13"
"Delfzijl en omgeving (CR)";"2010";"49";"39";"38";"57";"247";"1";"2";"22";"23";"31"
"Delfzijl en omgeving (CR)";"2011";"42";"39";"44";"21";"80";"1";"2";"24";"26";"26"
"Delfzijl en omgeving (CR)";"2012";"64";"47";"18";"49";"79";"1";"2";"26";"29";"21"
"Delfzijl en omgeving (CR)";"2013*";"35";"26";"60";"235";"67";"1";"2";"24";"29";"18"
"Overig Groningen (CR)";"1995";"401";"336";"180";"124";"292";"7";"17";"72";"128";"198"
"Overig Groningen (CR)";"2010";"502";"525";"236";"112";"431";"4";"30";"334";"226";"260"
"Overig Groningen (CR)";"2011";"536";"461";"329";"91";"346";"3";"32";"320";"230";"236"
"Overig Groningen (CR)";"2012";"514";"300";"339";"150";"424";"4";"29";"334";"225";"245"
"Overig Groningen (CR)";"2013*";"320";"347";"845";"106";"2009";"5";"24";"308";"226";"256"
"Noord-Friesland (CR)";"1995";"326";"207";"89";"73";"151";"15";"26";"58";"71";"103"
"Noord-Friesland (CR)";"2010";"386";"339";"424";"69";"203";"7";"23";"229";"118";"142"
"Noord-Friesland (CR)";"2011";"414";"299";"104";"78";"288";"5";"24";"226";"123";"172"
"Noord-Friesland (CR)";"2012";"364";"347";"205";"95";"322";"6";"25";"233";"117";"158"
"Noord-Friesland (CR)";"2013*";"332";"271";"138";"104";"209";"8";"20";"225";"117";"153"
"Zuidwest-Friesland (CR)";"1995";"112";"54";"17";"31";"62";"4";"5";"15";"20";"27"
"Zuidwest-Friesland (CR)";"2010";"173";"98";"60";"35";"62";"3";"5";"49";"34";"43"
