"Investeringen in vaste activa naar type en regio; nationale rekeningen"
"";"Onderwerpen";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa";"Investeringen naar type van activa"
"";"Onderwerpen";"Woningen";"Bedrijfsgebouwen";"Grond-weg- en waterbouwkundige werken";"Vervoermiddelen";"Machines en installaties";"In cultuur gebrachte activa";"Overdrachtskosten op grond";"Computerprogrammatuur en databanken";"Onderzoek en ontwikkeling";"Overige investeringen"
"Regio's";"Perioden";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro";"mln euro"
"Groot-Rijnmond (CR)";"2013*";"1044";"1186";"2301";"999";"1754";"7";"123";"1344";"1107";"1067"
"Zuidoost-Zuid-Holland (CR)";"1995";"297";"155";"398";"137";"227";"9";"19";"89";"110";"121"
"Zuidoost-Zuid-Holland (CR)";"2010";"717";"340";"1175";"181";"286";"5";"30";"291";"186";"201"
"Zuidoost-Zuid-Holland (CR)";"2011";"503";"426";"974";"182";"349";"4";"36";"301";"188";"207"
"Zuidoost-Zuid-Holland (CR)";"2012";"485";"331";"974";"205";"288";"5";"29";"315";"191";"206"
"Zuidoost-Zuid-Holland (CR)";"2013*";"364";"215";"1002";"217";"318";"6";"26";"314";"191";"194"
"Zeeuwsch-Vlaanderen (CR)";"1995";"94";"52";"27";"50";"171";"8";"3";"26";"97";"32"
"Zeeuwsch-Vlaanderen (CR)";"2010";"167";"118";"55";"246";"158";"5";"5";"62";"93";"40"
"Zeeuwsch-Vlaanderen (CR)";"2011";"220";"95";"102";"426";"490";"5";"6";"65";"68";"68"
"Zeeuwsch-Vlaanderen (CR)";"2012";"281";"123";"81";"165";"260";"6";"6";"65";"69";"56"
"Zeeuwsch-Vlaanderen (CR)";"2013*";"156";"108";"51";"122";"341";"9";"5";"63";"69";"70"
"Overig Zeeland (CR)";"1995";"331";"169";"45";"79";"556";"41";"14";"57";"66";"84"
"Overig Zeeland (CR)";"2010";"587";"206";"356";"55";"292";"30";"19";"182";"106";"137"
"Overig Zeeland (CR)";"2011";"528";"277";"165";"73";"224";"24";"20";"175";"112";"151"
"Overig Zeeland (CR)";"2012";"479";"282";"236";"93";"256";"29";"20";"178";"114";"133"
"Overig Zeeland (CR)";"2013*";"396";"219";"172";"139";"335";"39";"17";"175";"114";"131"
"West-Noord-Brabant (CR)";"1995";"581";"319";"284";"217";"565";"12";"28";"149";"228";"230"
"West-Noord-Brabant (CR)";"2010";"1085";"534";"869";"191";"721";"10";"51";"504";"467";"344"
"West-Noord-Brabant (CR)";"2011";"1070";"630";"810";"871";"707";"8";"56";"508";"491";"411"
"West-Noord-Brabant (CR)";"2012";"877";"616";"803";"409";"828";"10";"50";"518";"480";"349"
"West-Noord-Brabant (CR)";"2013*";"949";"791";"652";"756";"687";"12";"41";"515";"483";"352"
"Midden-Noord-Brabant (CR)";"1995";"458";"320";"119";"186";"327";"9";"38";"101";"118";"151"
"Midden-Noord-Brabant (CR)";"2010";"847";"501";"265";"231";"263";"6";"35";"333";"214";"249"
"Midden-Noord-Brabant (CR)";"2011";"744";"430";"231";"240";"418";"4";"38";"347";"218";"265"
"Midden-Noord-Brabant (CR)";"2012";"847";"422";"249";"181";"287";"5";"37";"352";"207";"258"
"Midden-Noord-Brabant (CR)";"2013*";"810";"530";"211";"233";"303";"7";"32";"347";"207";"225"
"Noordoost-Noord-Brabant (CR)";"1995";"781";"438";"236";"211";"371";"16";"31";"172";"282";"244"
"Noordoost-Noord-Brabant (CR)";"2010";"1335";"1032";"423";"198";"494";"12";"51";"535";"541";"351"
"Noordoost-Noord-Brabant (CR)";"2011";"1194";"976";"658";"253";"1120";"9";"53";"534";"579";"418"
"Noordoost-Noord-Brabant (CR)";"2012";"1097";"784";"621";"233";"596";"11";"51";"554";"540";"347"
"Noordoost-Noord-Brabant (CR)";"2013*";"986";"867";"838";"248";"519";"13";"43";"545";"544";"358"
"Zuidoost-Noord-Brabant (CR)";"1995";"960";"353";"248";"189";"750";"13";"32";"170";"519";"293"
"Zuidoost-Noord-Brabant (CR)";"2010";"1677";"734";"375";"186";"742";"9";"60";"685";"924";"490"
"Zuidoost-Noord-Brabant (CR)";"2011";"1349";"798";"332";"227";"692";"7";"65";"705";"939";"380"
"Zuidoost-Noord-Brabant (CR)";"2012";"990";"764";"465";"362";"1132";"9";"61";"741";"922";"495"
"Zuidoost-Noord-Brabant (CR)";"2013*";"906";"870";"336";"263";"863";"12";"53";"740";"937";"476"
"Noord-Limburg (CR)";"1995";"275";"155";"47";"67";"277";"7";"12";"56";"84";"99"
"Noord-Limburg (CR)";"2010";"472";"333";"76";"77";"226";"11";"19";"184";"151";"147"
"Noord-Limburg (CR)";"2011";"440";"376";"97";"108";"364";"9";"20";"187";"156";"175"
"Noord-Limburg (CR)";"2012";"347";"339";"100";"158";"257";"10";"22";"195";"165";"162"
"Noord-Limburg (CR)";"2013*";"252";"437";"68";"98";"275";"14";"21";"194";"166";"155"
"Midden-Limburg (CR)";"1995";"236";"167";"152";"61";"181";"6";"7";"42";"59";"75"
"Midden-Limburg (CR)";"2010";"402";"349";"156";"48";"214";"6";"14";"153";"94";"99"
"Midden-Limburg (CR)";"2011";"433";"452";"189";"61";"480";"5";"15";"150";"99";"123"
"Midden-Limburg (CR)";"2012";"290";"316";"254";"87";"352";"7";"16";"151";"98";"107"
"Midden-Limburg (CR)";"2013*";"252";"305";"131";"63";"166";"9";"14";"150";"98";"98"
"Zuid-Limburg (CR)";"1995";"587";"284";"220";"118";"561";"14";"34";"129";"252";"213"
"Zuid-Limburg (CR)";"2010";"644";"403";"190";"110";"454";"11";"47";"454";"500";"274"
"Zuid-Limburg (CR)";"2011";"489";"223";"172";"150";"589";"8";"51";"452";"545";"308"
"Zuid-Limburg (CR)";"2012";"451";"393";"367";"196";"760";"10";"44";"452";"529";"297"
"Zuid-Limburg (CR)";"2013*";"440";"864";"348";"154";"589";"13";"37";"453";"531";"312"
"Flevoland (CR)";"1995";"399";"248";"66";"155";"271";"19";"12";"72";"99";"106"
"Flevoland (CR)";"2010";"918";"618";"228";"1429";"989";"12";"24";"268";"205";"208"
"Flevoland (CR)";"2011";"712";"451";"215";"1554";"368";"9";"24";"255";"214";"232"
"Flevoland (CR)";"2012";"515";"543";"643";"1875";"309";"12";"23";"282";"205";"208"
"Flevoland (CR)";"2013*";"448";"378";"161";"1129";"238";"15";"19";"275";"208";"238"
"Utrecht-West (CP)";"1995";"143";"53";"53";"57";"62";"9";"5";"33";"38";"50"
"Utrecht-West (CP)";"2010";"285";"105";"171";"43";"64";"5";"12";"110";"61";"79"
"Utrecht-West (CP)";"2011";"240";"97";"111";"50";"102";"4";"10";"97";"56";"89"
"Utrecht-West (CP)";"2012";"173";"110";"123";"39";"76";"5";"10";"100";"56";"70"
"Utrecht-West (CP)";"2013*";"111";"124";"108";"48";"68";"6";"9";"97";"56";"68"
"Stadsgewest Amersfoort (CP)";"1995";"366";"199";"83";"96";"93";"2";"19";"68";"78";"111"
"Stadsgewest Amersfoort (CP)";"2010";"432";"247";"211";"176";"100";"1";"31";"326";"151";"163"
"Stadsgewest Amersfoort (CP)";"2011";"407";"260";"172";"194";"148";"1";"32";"326";"155";"203"
"Stadsgewest Amersfoort (CP)";"2012";"297";"301";"288";"62";"163";"1";"28";"332";"141";"180"
"Stadsgewest Amersfoort (CP)";"2013*";"220";"301";"282";"272";"132";"1";"22";"318";"142";"225"
"Stadsgewest Utrecht (CP)";"1995";"528";"538";"613";"580";"333";"13";"58";"201";"289";"379"
"Stadsgewest Utrecht (CP)";"2010";"1398";"1191";"1580";"1090";"534";"10";"99";"957";"560";"602"
"Stadsgewest Utrecht (CP)";"2011";"1540";"1583";"1200";"915";"787";"8";"100";"961";"569";"685"
"Stadsgewest Utrecht (CP)";"2012";"908";"868";"1058";"1227";"567";"10";"100";"1010";"595";"631"
"Stadsgewest Utrecht (CP)";"2013*";"872";"1070";"1322";"808";"590";"13";"91";"1021";"601";"816"
"Zuidoost-Utrecht (CP)";"1995";"168";"49";"12";"32";"51";"5";"10";"29";"34";"52"
"Zuidoost-Utrecht (CP)";"2010";"183";"133";"35";"36";"61";"4";"16";"113";"61";"68"
"Zuidoost-Utrecht (CP)";"2011";"250";"166";"39";"43";"80";"3";"16";"106";"60";"85"
"Zuidoost-Utrecht (CP)";"2012";"263";"165";"52";"50";"66";"3";"11";"108";"58";"77"
"Zuidoost-Utrecht (CP)";"2013*";"267";"170";"54";"40";"60";"4";"9";"107";"58";"78"
"Amsterdam (CP)";"1995";"953";"430";"350";"224";"431";"0";"87";"272";"358";"527"
"Amsterdam (CP)";"2010";"1560";"1124";"413";"311";"684";"0";"214";"1574";"1017";"1121"
"Amsterdam (CP)";"2011";"1465";"975";"367";"493";"539";"0";"222";"1615";"1059";"1111"
"Amsterdam (CP)";"2012";"929";"1134";"365";"328";"476";"0";"218";"1610";"1106";"1083"
"Amsterdam (CP)";"2013*";"1003";"1437";"506";"435";"636";"0";"173";"1646";"1114";"1193"
"Overig Agglomeratie Amsterdam (CP)";"1995";"162";"66";"31";"20";"86";"1";"16";"48";"42";"67"
"Overig Agglomeratie Amsterdam (CP)";"2010";"369";"169";"67";"338";"275";"0";"21";"206";"65";"120"
"Overig Agglomeratie Amsterdam (CP)";"2011";"333";"154";"22";"45";"44";"0";"20";"211";"71";"114"
"Overig Agglomeratie Amsterdam (CP)";"2012";"366";"155";"77";"85";"112";"0";"21";"218";"70";"128"
"Overig Agglomeratie Amsterdam (CP)";"2013*";"360";"284";"65";"40";"375";"0";"18";"209";"71";"153"
"Edam-Volendam en omgeving (CP)";"1995";"107";"24";"44";"22";"41";"2";"3";"17";"17";"31"
"Edam-Volendam en omgeving (CP)";"2010";"232";"67";"114";"93";"68";"2";"6";"65";"31";"46"
"Edam-Volendam en omgeving (CP)";"2011";"236";"54";"88";"34";"53";"1";"6";"62";"33";"60"
"Edam-Volendam en omgeving (CP)";"2012";"270";"34";"87";"102";"66";"1";"6";"63";"32";"46"
"Edam-Volendam en omgeving (CP)";"2013*";"222";"40";"82";"82";"39";"2";"5";"63";"32";"52"
"Haarlemmermeer en omgeving (CP)";"1995";"272";"252";"102";"1125";"351";"1";"12";"174";"97";"201"
"Haarlemmermeer en omgeving (CP)";"2010";"194";"668";"265";"518";"442";"0";"21";"425";"176";"285"
"Haarlemmermeer en omgeving (CP)";"2011";"113";"345";"357";"966";"442";"0";"21";"485";"190";"247"
"Haarlemmermeer en omgeving (CP)";"2012";"144";"496";"258";"1150";"303";"0";"21";"514";"205";"345"
"Haarlemmermeer en omgeving (CP)";"2013*";"127";"407";"191";"686";"396";"0";"21";"497";"206";"273"
"Aggl.'s-Gravenhage excl. Zoetermeer (CP)";"1995";"1018";"880";"93";"242";"313";"0";"60";"171";"181";"346"
"Aggl.'s-Gravenhage excl. Zoetermeer (CP)";"2010";"1164";"1116";"294";"397";"518";"0";"99";"1010";"356";"649"
"Aggl.'s-Gravenhage excl. Zoetermeer (CP)";"2011";"826";"826";"409";"348";"601";"0";"95";"956";"366";"592"
"Aggl.'s-Gravenhage excl. Zoetermeer (CP)";"2012";"689";"650";"310";"309";"428";"0";"90";"974";"337";"603"
"Aggl.'s-Gravenhage excl. Zoetermeer (CP)";"2013*";"634";"665";"388";"335";"491";"1";"72";"950";"340";"714"
"Zoetermeer (CP)";"1995";"130";"68";"10";"18";"37";"0";"7";"26";"26";"34"
"Zoetermeer (CP)";"2010";"231";"89";"143";"25";"102";"0";"13";"125";"49";"77"
"Zoetermeer (CP)";"2011";"205";"89";"21";"24";"49";"0";"11";"125";"48";"78"
"Zoetermeer (CP)";"2012";"202";"40";"29";"102";"57";"0";"10";"131";"50";"73"
"Zoetermeer (CP)";"2013*";"115";"67";"31";"413";"51";"0";"8";"141";"50";"89"
"Rijnmond (CP)";"1995";"1199";"715";"882";"659";"1064";"2";"70";"365";"592";"497"
"Rijnmond (CP)";"2010";"2257";"2030";"1704";"1317";"2252";"2";"138";"1254";"963";"1083"
"Rijnmond (CP)";"2011";"1841";"1837";"3238";"1170";"2371";"1";"145";"1245";"1013";"1093"
"Rijnmond (CP)";"2012";"1312";"1873";"1698";"878";"2529";"1";"138";"1269";"1042";"1093"
"Rijnmond (CP)";"2013*";"857";"1098";"2142";"904";"1654";"1";"110";"1247";"1045";"995"
"Overig Groot-Rijnmond (CP)";"1995";"129";"60";"39";"47";"67";"7";"6";"26";"30";"39"
"Overig Groot-Rijnmond (CP)";"2010";"249";"137";"157";"63";"104";"5";"13";"92";"58";"71"
"Overig Groot-Rijnmond (CP)";"2011";"287";"120";"102";"76";"110";"4";"16";"94";"62";"76"
"Overig Groot-Rijnmond (CP)";"2012";"280";"186";"129";"66";"90";"5";"16";"98";"62";"73"
"Overig Groot-Rijnmond (CP)";"2013*";"187";"88";"160";"95";"100";"6";"13";"97";"62";"72"
"Drechtsteden (CP)";"1995";"139";"92";"293";"80";"150";"0";"12";"57";"68";"74"
"Drechtsteden (CP)";"2010";"299";"119";"808";"116";"190";"0";"19";"189";"112";"143"
"Drechtsteden (CP)";"2011";"247";"184";"693";"121";"223";"0";"26";"197";"113";"143"
"Drechtsteden (CP)";"2012";"197";"170";"694";"150";"188";"0";"19";"204";"117";"128"
"Drechtsteden (CP)";"2013*";"136";"80";"728";"126";"201";"0";"17";"201";"117";"127"
"Overig Zuidoost-Zuid-Holland (CP)";"1995";"158";"63";"105";"56";"77";"9";"7";"32";"42";"46"
"Overig Zuidoost-Zuid-Holland (CP)";"2010";"419";"221";"367";"66";"96";"5";"10";"102";"74";"59"
"Overig Zuidoost-Zuid-Holland (CP)";"2011";"256";"243";"281";"61";"126";"4";"11";"104";"74";"64"
"Overig Zuidoost-Zuid-Holland (CP)";"2012";"288";"160";"280";"55";"100";"4";"10";"110";"74";"78"
"Overig Zuidoost-Zuid-Holland (CP)";"2013*";"228";"135";"274";"91";"117";"6";"9";"113";"74";"68"
"Stadsgewest 's-Hertogenbosch (CP)";"1995";"415";"185";"158";"118";"135";"4";"21";"77";"94";"133"
"Stadsgewest 's-Hertogenbosch (CP)";"2010";"608";"473";"285";"103";"190";"2";"31";"322";"170";"196"
"Stadsgewest 's-Hertogenbosch (CP)";"2011";"538";"478";"500";"131";"794";"2";"33";"316";"169";"220"
"Stadsgewest 's-Hertogenbosch (CP)";"2012";"486";"330";"439";"137";"318";"2";"30";"326";"174";"183"
"Stadsgewest 's-Hertogenbosch (CP)";"2013*";"491";"356";"696";"131";"182";"3";"25";"315";"175";"200"
"Overig Noordoost-Noord-Brabant (CP)";"1995";"366";"253";"78";"92";"235";"12";"10";"95";"188";"110"
"Overig Noordoost-Noord-Brabant (CP)";"2010";"727";"559";"138";"95";"304";"9";"20";"213";"370";"155"
"Overig Noordoost-Noord-Brabant (CP)";"2011";"657";"499";"158";"122";"326";"7";"20";"218";"410";"197"
"Overig Noordoost-Noord-Brabant (CP)";"2012";"612";"454";"182";"97";"278";"9";"21";"228";"366";"163"
"Overig Noordoost-Noord-Brabant (CP)";"2013*";"495";"511";"142";"117";"338";"11";"18";"230";"369";"157"
"Almere (CP)";"1995";"123";"83";"29";"106";"132";"0";"4";"34";"46";"46"
"Almere (CP)";"2010";"524";"306";"139";"1366";"55";"0";"10";"136";"78";"85"
"Almere (CP)";"2011";"413";"171";"112";"1486";"101";"0";"10";"127";"85";"96"
"Almere (CP)";"2012";"231";"138";"142";"1775";"98";"0";"9";"134";"87";"82"
"Almere (CP)";"2013*";"189";"99";"104";"1027";"77";"0";"7";"133";"88";"120"
"Flevoland-Midden (CP)";"1995";"196";"104";"32";"27";"69";"11";"6";"26";"35";"40"
"Flevoland-Midden (CP)";"2010";"299";"220";"80";"49";"885";"7";"10";"101";"88";"90"
"Flevoland-Midden (CP)";"2011";"197";"160";"96";"49";"189";"5";"9";"96";"88";"105"
"Flevoland-Midden (CP)";"2012";"161";"273";"494";"67";"145";"7";"9";"114";"80";"96"
"Flevoland-Midden (CP)";"2013*";"179";"183";"50";"76";"103";"8";"7";"110";"81";"88"
"Noordoostpolder en Urk (CP)";"1995";"80";"61";"5";"22";"70";"9";"3";"12";"18";"19"
"Noordoostpolder en Urk (CP)";"2010";"94";"93";"9";"14";"48";"6";"4";"32";"39";"33"
"Noordoostpolder en Urk (CP)";"2011";"101";"120";"7";"19";"78";"4";"4";"32";"41";"31"
"Noordoostpolder en Urk (CP)";"2012";"123";"132";"8";"33";"65";"5";"5";"33";"38";"31"
"Noordoostpolder en Urk (CP)";"2013*";"79";"96";"7";"26";"58";"6";"5";"33";"39";"30"

