"City";"year";"Province";"Empty"
"Uden";"2015";"Noord-Brabant";" "
"Uitgeest";"2013";"Noord-Holland";" "
"Uitgeest";"2014";"Noord-Holland";" "
"Uitgeest";"2015";"Noord-Holland";" "
"Uithoorn";"2013";"Noord-Holland";" "
"Uithoorn";"2014";"Noord-Holland";" "
"Uithoorn";"2015";"Noord-Holland";" "
"Urk";"2013";"Flevoland";" "
"Urk";"2014";"Flevoland";" "
"Urk";"2015";"Flevoland";" "
"Utrecht (gemeente)";"2013";"Utrecht";" "
"Utrecht (gemeente)";"2014";"Utrecht";" "
"Utrecht (gemeente)";"2015";"Utrecht";" "
"Utrechtse Heuvelrug";"2013";"Utrecht";" "
"Utrechtse Heuvelrug";"2014";"Utrecht";" "
"Utrechtse Heuvelrug";"2015";"Utrecht";" "
"Vaals";"2013";"Limburg";" "
"Vaals";"2014";"Limburg";" "
"Vaals";"2015";"Limburg";" "
"Valkenburg aan de Geul";"2013";"Limburg";" "
"Valkenburg aan de Geul";"2014";"Limburg";" "
"Valkenburg aan de Geul";"2015";"Limburg";" "
"Valkenswaard";"2013";"Noord-Brabant";" "
"Valkenswaard";"2014";"Noord-Brabant";" "
"Valkenswaard";"2015";"Noord-Brabant";" "
"Veendam";"2013";"Groningen";" "
"Veendam";"2014";"Groningen";" "
"Veendam";"2015";"Groningen";" "
"Veenendaal";"2013";"Utrecht";" "
"Veenendaal";"2014";"Utrecht";" "
"Veenendaal";"2015";"Utrecht";" "
"Veere";"2013";"Zeeland";" "
"Veere";"2014";"Zeeland";" "
"Veere";"2015";"Zeeland";" "
"Veghel";"2013";"Noord-Brabant";" "
"Veghel";"2014";"Noord-Brabant";" "
"Veghel";"2015";"Noord-Brabant";" "
"Veldhoven";"2013";"Noord-Brabant";" "
"Veldhoven";"2014";"Noord-Brabant";" "
"Veldhoven";"2015";"Noord-Brabant";" "
"Velsen";"2013";"Noord-Holland";" "
"Velsen";"2014";"Noord-Holland";" "
"Velsen";"2015";"Noord-Holland";" "
"Venlo";"2013";"Limburg";" "
"Venlo";"2014";"Limburg";" "
"Venlo";"2015";"Limburg";" "
"Venray";"2013";"Limburg";" "
"Venray";"2014";"Limburg";" "
"Venray";"2015";"Limburg";" "
"Vianen";"2013";"Utrecht";" "
"Vianen";"2014";"Utrecht";" "
"Vianen";"2015";"Utrecht";" "
"Vlaardingen";"2013";"Zuid-Holland";" "
"Vlaardingen";"2014";"Zuid-Holland";" "
"Vlaardingen";"2015";"Zuid-Holland";" "
"Vlagtwedde";"2013";"Groningen";" "
"Vlagtwedde";"2014";"Groningen";" "
"Vlagtwedde";"2015";"Groningen";" "
"Vlieland";"2013";"Friesland";" "
"Vlieland";"2014";"Friesland";" "
"Vlieland";"2015";"Friesland";" "
"Vlissingen";"2013";"Zeeland";" "
"Vlissingen";"2014";"Zeeland";" "
"Vlissingen";"2015";"Zeeland";" "
"Voerendaal";"2013";"Limburg";" "
"Voerendaal";"2014";"Limburg";" "
"Voerendaal";"2015";"Limburg";" "
"Voorschoten";"2013";"Zuid-Holland";" "
"Voorschoten";"2014";"Zuid-Holland";" "
"Voorschoten";"2015";"Zuid-Holland";" "
"Voorst";"2013";"Gelderland";" "
"Voorst";"2014";"Gelderland";" "
"Voorst";"2015";"Gelderland";" "
"Vught";"2013";"Noord-Brabant";" "
"Vught";"2014";"Noord-Brabant";" "
"Vught";"2015";"Noord-Brabant";" "
"Waalre";"2013";"Noord-Brabant";" "
"Waalre";"2014";"Noord-Brabant";" "
"Waalre";"2015";"Noord-Brabant";" "
"Waalwijk";"2013";"Noord-Brabant";" "
"Waalwijk";"2014";"Noord-Brabant";" "
"Waalwijk";"2015";"Noord-Brabant";" "
"Waddinxveen";"2013";"Zuid-Holland";" "
"Waddinxveen";"2014";"Zuid-Holland";" "
"Waddinxveen";"2015";"Zuid-Holland";" "
"Wageningen";"2013";"Gelderland";" "
"Wageningen";"2014";"Gelderland";" "
"Wageningen";"2015";"Gelderland";" "
"Wassenaar";"2013";"Zuid-Holland";" "
"Wassenaar";"2014";"Zuid-Holland";" "
"Wassenaar";"2015";"Zuid-Holland";" "
"Waterland";"2013";"Noord-Holland";" "
"Waterland";"2014";"Noord-Holland";" "
"Waterland";"2015";"Noord-Holland";" "
"Weert";"2013";"Limburg";" "
"Weert";"2014";"Limburg";" "
"Weert";"2015";"Limburg";" "
"Weesp";"2013";"Noord-Holland";" "
"Weesp";"2014";"Noord-Holland";" "
"Weesp";"2015";"Noord-Holland";" "
"Werkendam";"2013";"Noord-Brabant";" "
"Werkendam";"2014";"Noord-Brabant";" "
"Werkendam";"2015";"Noord-Brabant";" "
"West Maas en Waal";"2013";"Gelderland";" "
"West Maas en Waal";"2014";"Gelderland";" "
"West Maas en Waal";"2015";"Gelderland";" "
"Westerveld";"2013";"Drenthe";" "
"Westerveld";"2014";"Drenthe";" "
"Westerveld";"2015";"Drenthe";" "
"Westervoort";"2013";"Gelderland";" "
"Westervoort";"2014";"Gelderland";" "
"Westervoort";"2015";"Gelderland";" "
"Westland";"2013";"Zuid-Holland";" "
"Westland";"2014";"Zuid-Holland";" "
"Westland";"2015";"Zuid-Holland";" "
"Weststellingwerf";"2013";"Friesland";" "
"Weststellingwerf";"2014";"Friesland";" "
"Weststellingwerf";"2015";"Friesland";" "
"Westvoorne";"2013";"Zuid-Holland";" "
"Westvoorne";"2014";"Zuid-Holland";" "
"Westvoorne";"2015";"Zuid-Holland";" "
"Wierden";"2013";"Overijssel";" "
"Wierden";"2014";"Overijssel";" "
"Wierden";"2015";"Overijssel";" "
"Wijchen";"2013";"Gelderland";" "
"Wijchen";"2014";"Gelderland";" "
"Wijchen";"2015";"Gelderland";" "
"Wijdemeren";"2013";"Noord-Holland";" "
"Wijdemeren";"2014";"Noord-Holland";" "
"Wijdemeren";"2015";"Noord-Holland";" "
"Wijk bij Duurstede";"2013";"Utrecht";" "
"Wijk bij Duurstede";"2014";"Utrecht";" "
"Wijk bij Duurstede";"2015";"Utrecht";" "
"Winsum";"2013";"Groningen";" "
"Winsum";"2014";"Groningen";" "
"Winsum";"2015";"Groningen";" "
"Winterswijk";"2013";"Gelderland";" "
"Winterswijk";"2014";"Gelderland";" "
"Winterswijk";"2015";"Gelderland";" "
"Woensdrecht";"2013";"Noord-Brabant";" "
"Woensdrecht";"2014";"Noord-Brabant";" "
"Woensdrecht";"2015";"Noord-Brabant";" "
"Woerden";"2013";"Utrecht";" "
"Woerden";"2014";"Utrecht";" "
"Woerden";"2015";"Utrecht";" "
"De Wolden";"2013";"Drenthe";" "
"De Wolden";"2014";"Drenthe";" "
"De Wolden";"2015";"Drenthe";" "
"Wormerland";"2013";"Noord-Holland";" "
"Wormerland";"2014";"Noord-Holland";" "
"Wormerland";"2015";"Noord-Holland";" "
"Woudenberg";"2013";"Utrecht";" "
"Woudenberg";"2014";"Utrecht";" "
"Woudenberg";"2015";"Utrecht";" "
"Woudrichem";"2013";"Noord-Brabant";" "
"Woudrichem";"2014";"Noord-Brabant";" "
"Woudrichem";"2015";"Noord-Brabant";" "
"Zaanstad";"2013";"Noord-Holland";" "
"Zaanstad";"2014";"Noord-Holland";" "
"Zaanstad";"2015";"Noord-Holland";" "
"Zaltbommel";"2013";"Gelderland";" "
"Zaltbommel";"2014";"Gelderland";" "
"Zaltbommel";"2015";"Gelderland";" "
"Zandvoort";"2013";"Noord-Holland";" "
"Zandvoort";"2014";"Noord-Holland";" "
"Zandvoort";"2015";"Noord-Holland";" "
"Zederik";"2013";"Zuid-Holland";" "
"Zederik";"2014";"Zuid-Holland";" "
"Zederik";"2015";"Zuid-Holland";" "
"Zeevang";"2013";"Noord-Holland";" "
"Zeevang";"2014";"Noord-Holland";" "
"Zeevang";"2015";"Noord-Holland";" "
"Zeewolde";"2013";"Flevoland";" "
"Zeewolde";"2014";"Flevoland";" "
"Zeewolde";"2015";"Flevoland";" "
"Zeist";"2013";"Utrecht";" "
"Zeist";"2014";"Utrecht";" "
"Zeist";"2015";"Utrecht";" "
"Zevenaar";"2013";"Gelderland";" "
"Zevenaar";"2014";"Gelderland";" "
"Zevenaar";"2015";"Gelderland";" "
"Zoetermeer";"2013";"Zuid-Holland";" "
"Zoetermeer";"2014";"Zuid-Holland";" "
"Zoetermeer";"2015";"Zuid-Holland";" "
"Zoeterwoude";"2013";"Zuid-Holland";" "
"Zoeterwoude";"2014";"Zuid-Holland";" "
"Zoeterwoude";"2015";"Zuid-Holland";" "
"Zuidhorn";"2013";"Groningen";" "
"Zuidhorn";"2014";"Groningen";" "
"Zuidhorn";"2015";"Groningen";" "
"Zuidplas";"2013";"Zuid-Holland";" "
"Zuidplas";"2014";"Zuid-Holland";" "
"Zuidplas";"2015";"Zuid-Holland";" "
"Zundert";"2013";"Noord-Brabant";" "
"Zundert";"2014";"Noord-Brabant";" "
"Zundert";"2015";"Noord-Brabant";" "
"Zutphen";"2013";"Gelderland";" "
"Zutphen";"2014";"Gelderland";" "
"Zutphen";"2015";"Gelderland";" "
"Zwartewaterland";"2013";"Overijssel";" "
"Zwartewaterland";"2014";"Overijssel";" "
"Zwartewaterland";"2015";"Overijssel";" "
"Zwijndrecht";"2013";"Zuid-Holland";" "
"Zwijndrecht";"2014";"Zuid-Holland";" "
"Zwijndrecht";"2015";"Zuid-Holland";" "
"Zwolle";"2013";"Overijssel";" "
"Zwolle";"2014";"Overijssel";" "
"Zwolle";"2015";"Overijssel";" "
"© Centraal Bureau voor de Statistiek, Den Haag/Heerlen 24-3-2016"
