"ID";"RegioS";"Perioden";"GeenKerkelijkeGezindte_1";"TotaalKerkelijkeGezindte_2";"RoomsKatholiek_3";"ProtestantseKerkInNederland_4";"NederlandsHervormd_5";"Gereformeerd_6";"Islam_7";"OverigeGezindte_8";"EenKeerPerWeekOfVaker_9";"TweeTotDrieKeerPerMaand_10";"EenKeerPerMaand_11";"MinderDanEenKeerPerMaand_12";"ZeldenOfNooit_13"
"74";"PV29  ";"2014JJ00";"      47";"      53";"      16";"      12";"       9";"       8";"       3";"       6";"      21";"       4";"       2";"       5";"      68"
"75";"PV30  ";"2010JJ00";"      32";"      69";"      55";"       3";"       2";"       1";"       4";"       3";"       6";"       3";"       4";"      13";"      73"
"76";"PV30  ";"2011JJ00";"      32";"      68";"      55";"       3";"       3";"       1";"       4";"       3";"       7";"       4";"       4";"      12";"      74"
"77";"PV30  ";"2012JJ00";"      35";"      65";"      53";"       2";"       2";"       1";"       4";"       3";"       5";"       3";"       4";"      10";"      78"
"78";"PV30  ";"2013JJ00";"      34";"      66";"      53";"       2";"       3";"       1";"       5";"       3";"       6";"       3";"       4";"      10";"      78"
"79";"PV30  ";"2014JJ00";"      38";"      62";"      49";"       2";"       2";"       1";"       4";"       3";"       5";"       3";"       3";"      10";"      79"
"80";"PV31  ";"2010JJ00";"      21";"      79";"      72";"       1";"       1";"       1";"       3";"       2";"       7";"       4";"       7";"      17";"      65"
"81";"PV31  ";"2011JJ00";"      23";"      77";"      69";"       1";"       1";"       0";"       3";"       2";"       6";"       3";"       5";"      15";"      71"
"82";"PV31  ";"2012JJ00";"      24";"      76";"      68";"       1";"       1";"       0";"       4";"       2";"       6";"       4";"       5";"      14";"      72"
"83";"PV31  ";"2013JJ00";"      23";"      77";"      67";"       1";"       1";"       0";"       5";"       3";"       7";"       3";"       5";"      14";"      72"
"84";"PV31  ";"2014JJ00";"      25";"      75";"      66";"       1";"       1";"       0";"       4";"       2";"       6";"       4";"       5";"      13";"      73"
