SCHOOLJAAR 2011-2012 IN HET VO (peildatum 1 oktober 2011);;;;;;;SCHOOLJAAR 2012-2013 IN HET HO (peildatum 1 oktober 2012);;;;;
BRIN NUMMER;VESTINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;SOORT HO;CROHO ONDERDEEL;GEMEENTNUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
02VR;0;355;Zeist;vwo;diploma;nat/tech & nat/gezond;21PE;wo;gezondheidszorg;355;Zeist;1
02VR;0;355;Zeist;vwo;diploma;nat/tech & nat/gezond;21PF;wo;techniek;355;Zeist;1
02VR;0;355;Zeist;vwo;diploma;nat/tech & nat/gezond;21PF;wo;techniek;503;Delft;1
02VR;0;355;Zeist;vwo;diploma;nat/tech & nat/gezond;21PF;wo;techniek;518;s-Gravenhage;2
02VR;0;355;Zeist;vwo;diploma;nat/tech & nat/gezond;21PH;wo;gezondheidszorg;164;Hengelo;1
02VR;0;355;Zeist;vwo;diploma;nat/tech & nat/gezond;21PI;wo;landbouw en natuurlijke omgeving;355;Zeist;1
02VR;0;355;Zeist;vwo;diploma;nat/tech & nat/gezond;21PL;wo;gezondheidszorg;310;De Bilt;1
02VR;0;355;Zeist;vwo;diploma;nat/tech & nat/gezond;21PL;wo;gezondheidszorg;355;Zeist;1
02VR;0;355;Zeist;vwo;diploma;nat/tech & nat/gezond;21PM;wo;gezondheidszorg;312;Bunnik;1
02VR;0;355;Zeist;vwo;diploma;nat/tech & nat/gezond;21PM;wo;gezondheidszorg;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;havo;geen diploma;ec/maat;25DW;hbo;techniek;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;nat/tech;21WN;hbo;techniek;93;Terschelling;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;nat/tech;22OJ;hbo;techniek;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;nat/tech;25DW;hbo;techniek;352;Wijk bij Duurstede;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;nat/tech;25KB;hbo;techniek;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;nat/gezond;25DW;hbo;gezondheidszorg;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;ec/maat;00MF;hbo;economie;344;Utrecht;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;ec/maat;21UI;hbo;economie;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;ec/maat;25BA;hbo;gezondheidszorg;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;ec/maat;25DW;hbo;onderwijs;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;ec/maat;25DW;hbo;techniek;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;ec/maat;25DW;hbo;gezondheidszorg;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;ec/maat;25DW;hbo;economie;345;Veenendaal;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;ec/maat;25DW;hbo;economie;352;Wijk bij Duurstede;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;ec/maat;25DW;hbo;economie;355;Zeist;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;ec/maat;25DW;hbo;economie;1581;Utrechtse Heuvelrug;7
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;ec/maat;25DW;hbo;gedrag en maatschappij;352;Wijk bij Duurstede;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;ec/maat;25KB;hbo;gezondheidszorg;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;ec/maat;25KB;hbo;economie;1581;Utrechtse Heuvelrug;3
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;ec/maat;25KB;hbo;gedrag en maatschappij;1581;Utrechtse Heuvelrug;3
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;ec/maat;28DN;hbo;economie;352;Wijk bij Duurstede;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;ec/maat;28DN;hbo;economie;1581;Utrechtse Heuvelrug;2
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;cul/maat;00MF;hbo;taal en cultuur;352;Wijk bij Duurstede;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;cul/maat;07GR;hbo;economie;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;cul/maat;10IZ;hbo;onderwijs;352;Wijk bij Duurstede;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;cul/maat;10IZ;hbo;onderwijs;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;cul/maat;25BE;hbo;economie;14;Groningen;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;cul/maat;25DW;hbo;gedrag en maatschappij;352;Wijk bij Duurstede;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;cul/maat;25KB;hbo;gezondheidszorg;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;nat/tech & nat/gezond;07GR;hbo;techniek;352;Wijk bij Duurstede;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;nat/tech & nat/gezond;25DW;hbo;gezondheidszorg;352;Wijk bij Duurstede;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;nat/tech & nat/gezond;25DW;hbo;gedrag en maatschappij;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;nat/tech & nat/gezond;25KB;hbo;gezondheidszorg;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;ec/maat & cul/maat;25DW;hbo;gedrag en maatschappij;1581;Utrechtse Heuvelrug;2
02VR;4;1581;Utrechtse Heuvelrug;havo;diploma;ec/maat & cul/maat;28DN;hbo;economie;1581;Utrechtse Heuvelrug;2
02VR;4;1581;Utrechtse Heuvelrug;vwo;geen diploma;nat/tech;28DN;hbo;techniek;340;Rhenen;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;geen diploma;ec/maat;07GR;hbo;economie;352;Wijk bij Duurstede;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech;21PC;wo;economie;14;Groningen;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech;21PD;wo;natuur;344;Utrecht;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech;21PD;wo;natuur;352;Wijk bij Duurstede;2
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech;21PD;wo;taal en cultuur;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech;21PE;wo;economie;599;Rotterdam;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech;21PE;wo;economie;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech;21PF;wo;techniek;503;Delft;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech;21PF;wo;techniek;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech;21PG;wo;techniek;352;Wijk bij Duurstede;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech;21PG;wo;techniek;772;Eindhoven;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech;21PH;wo;techniek;153;Enschede;2
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech;21PJ;wo;economie;935;Maastricht;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech;21PM;wo;gedrag en maatschappij;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech;25DW;hbo;techniek;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/gezond;21PD;wo;natuur;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/gezond;21PD;wo;gezondheidszorg;352;Wijk bij Duurstede;2
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/gezond;21PD;wo;gedrag en maatschappij;352;Wijk bij Duurstede;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/gezond;21PI;wo;landbouw en natuurlijke omgeving;352;Wijk bij Duurstede;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/gezond;21PL;wo;gezondheidszorg;214;Buren;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/gezond;21PL;wo;gezondheidszorg;352;Wijk bij Duurstede;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat;07GR;hbo;economie;796;s-Hertogenbosch;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat;21PB;wo;sectoroverstijgend;546;Leiden;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat;21PB;wo;sectoroverstijgend;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat;21PB;wo;recht;546;Leiden;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat;21PB;wo;recht;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat;21PC;wo;economie;14;Groningen;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat;21PD;wo;economie;214;Buren;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat;21PD;wo;economie;352;Wijk bij Duurstede;2
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat;21PD;wo;gedrag en maatschappij;352;Wijk bij Duurstede;3
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat;21PD;wo;gedrag en maatschappij;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat;21PE;wo;economie;352;Wijk bij Duurstede;2
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat;21PE;wo;economie;599;Rotterdam;2
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat;21PF;wo;techniek;503;Delft;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat;21PJ;wo;economie;352;Wijk bij Duurstede;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat;21PJ;wo;economie;935;Maastricht;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat;21PK;wo;recht;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat;21PM;wo;gedrag en maatschappij;214;Buren;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat;21UI;hbo;economie;758;Breda;4
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat;25DW;hbo;economie;352;Wijk bij Duurstede;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat;28DN;hbo;economie;352;Wijk bij Duurstede;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;cul/maat;21PB;wo;gedrag en maatschappij;546;Leiden;3
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;cul/maat;21PC;wo;recht;14;Groningen;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;cul/maat;21PC;wo;taal en cultuur;14;Groningen;2
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;cul/maat;21PD;wo;gedrag en maatschappij;352;Wijk bij Duurstede;2
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;cul/maat;21PI;wo;landbouw en natuurlijke omgeving;289;Wageningen;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;cul/maat;21PM;wo;recht;268;Nijmegen;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;cul/maat;25DW;hbo;onderwijs;352;Wijk bij Duurstede;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;cul/maat;25DW;hbo;gezondheidszorg;352;Wijk bij Duurstede;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;cul/maat;25DW;hbo;gedrag en maatschappij;352;Wijk bij Duurstede;2
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;cul/maat;25KB;hbo;onderwijs;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech & nat/gezond;21PB;wo;gedrag en maatschappij;637;Zoetermeer;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech & nat/gezond;21PC;wo;natuur;14;Groningen;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech & nat/gezond;21PC;wo;gezondheidszorg;14;Groningen;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech & nat/gezond;21PD;wo;gezondheidszorg;344;Utrecht;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech & nat/gezond;21PD;wo;gezondheidszorg;1581;Utrechtse Heuvelrug;2
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech & nat/gezond;21PE;wo;gezondheidszorg;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech & nat/gezond;21PF;wo;techniek;503;Delft;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech & nat/gezond;21PH;wo;techniek;153;Enschede;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech & nat/gezond;21PH;wo;gezondheidszorg;153;Enschede;2
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech & nat/gezond;21PI;wo;landbouw en natuurlijke omgeving;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech & nat/gezond;21PJ;wo;gezondheidszorg;935;Maastricht;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech & nat/gezond;21PK;wo;gezondheidszorg;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech & nat/gezond;21PL;wo;gezondheidszorg;352;Wijk bij Duurstede;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech & nat/gezond;21PL;wo;gezondheidszorg;363;Amsterdam;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech & nat/gezond;21PL;wo;gezondheidszorg;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech & nat/gezond;21PM;wo;gezondheidszorg;268;Nijmegen;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech & nat/gezond;25KB;hbo;techniek;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;nat/tech & nat/gezond;28DN;hbo;economie;352;Wijk bij Duurstede;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat & cul/maat;21PD;wo;economie;352;Wijk bij Duurstede;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat & cul/maat;21PD;wo;economie;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat & cul/maat;21PD;wo;gedrag en maatschappij;344;Utrecht;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat & cul/maat;21PD;wo;gedrag en maatschappij;1581;Utrechtse Heuvelrug;2
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat & cul/maat;21PD;wo;taal en cultuur;344;Utrecht;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat & cul/maat;21PD;wo;taal en cultuur;1581;Utrechtse Heuvelrug;4
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat & cul/maat;21PE;wo;recht;352;Wijk bij Duurstede;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat & cul/maat;21PI;wo;landbouw en natuurlijke omgeving;1581;Utrechtse Heuvelrug;2
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat & cul/maat;21PK;wo;economie;363;Amsterdam;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat & cul/maat;21PL;wo;economie;1581;Utrechtse Heuvelrug;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat & cul/maat;21PM;wo;recht;268;Nijmegen;1
02VR;4;1581;Utrechtse Heuvelrug;vwo;diploma;ec/maat & cul/maat;25DW;hbo;gedrag en maatschappij;352;Wijk bij Duurstede;1
02VR;5;352;Wijk bij Duurstede;havo;diploma;nat/gezond;21WN;hbo;techniek;93;Terschelling;1
02VR;5;352;Wijk bij Duurstede;havo;diploma;nat/gezond;25DW;hbo;techniek;352;Wijk bij Duurstede;1
02VR;5;352;Wijk bij Duurstede;havo;diploma;nat/gezond;25DW;hbo;gezondheidszorg;352;Wijk bij Duurstede;1
02VR;5;352;Wijk bij Duurstede;havo;diploma;nat/gezond;25DW;hbo;economie;352;Wijk bij Duurstede;2
02VR;5;352;Wijk bij Duurstede;havo;diploma;nat/gezond;25KB;hbo;gezondheidszorg;268;Nijmegen;1
02VR;5;352;Wijk bij Duurstede;havo;diploma;ec/maat;01VU;hbo;onderwijs;193;Zwolle;1
02VR;5;352;Wijk bij Duurstede;havo;diploma;ec/maat;01VU;hbo;onderwijs;312;Bunnik;1
02VR;5;352;Wijk bij Duurstede;havo;diploma;ec/maat;21CW;hbo;landbouw en natuurlijke omgeving;352;Wijk bij Duurstede;1
02VR;5;352;Wijk bij Duurstede;havo;diploma;ec/maat;23AH;hbo;economie;352;Wijk bij Duurstede;1
02VR;5;352;Wijk bij Duurstede;havo;diploma;ec/maat;25DW;hbo;onderwijs;352;Wijk bij Duurstede;3
02VR;5;352;Wijk bij Duurstede;havo;diploma;ec/maat;25DW;hbo;gezondheidszorg;352;Wijk bij Duurstede;2
02VR;5;352;Wijk bij Duurstede;havo;diploma;ec/maat;25DW;hbo;economie;352;Wijk bij Duurstede;10
02VR;5;352;Wijk bij Duurstede;havo;diploma;ec/maat;25DW;hbo;gedrag en maatschappij;214;Buren;1
02VR;5;352;Wijk bij Duurstede;havo;diploma;ec/maat;25DW;hbo;gedrag en maatschappij;352;Wijk bij Duurstede;2
02VR;5;352;Wijk bij Duurstede;havo;diploma;ec/maat;25JX;hbo;economie;935;Maastricht;1
02VR;5;352;Wijk bij Duurstede;havo;diploma;ec/maat;25KB;hbo;gezondheidszorg;312;Bunnik;1
02VR;5;352;Wijk bij Duurstede;havo;diploma;cul/maat;10IZ;hbo;onderwijs;352;Wijk bij Duurstede;1
02VR;5;352;Wijk bij Duurstede;havo;diploma;cul/maat;25DW;hbo;gedrag en maatschappij;352;Wijk bij Duurstede;1
02VR;5;352;Wijk bij Duurstede;havo;diploma;nat/tech & nat/gezond;25DW;hbo;techniek;352;Wijk bij Duurstede;5
02VR;5;352;Wijk bij Duurstede;havo;diploma;ec/maat & cul/maat;10IZ;hbo;onderwijs;352;Wijk bij Duurstede;1
02VR;5;352;Wijk bij Duurstede;havo;diploma;ec/maat & cul/maat;22OJ;hbo;gezondheidszorg;505;Dordrecht;1
02VR;5;352;Wijk bij Duurstede;havo;diploma;ec/maat & cul/maat;23AH;hbo;techniek;153;Enschede;1
02VR;5;352;Wijk bij Duurstede;havo;diploma;ec/maat & cul/maat;25DW;hbo;techniek;352;Wijk bij Duurstede;1
02VR;5;352;Wijk bij Duurstede;havo;diploma;ec/maat & cul/maat;25DW;hbo;gedrag en maatschappij;352;Wijk bij Duurstede;1
02VR;5;352;Wijk bij Duurstede;havo;diploma;ec/maat & cul/maat;28DN;hbo;economie;352;Wijk bij Duurstede;1
02VS;0;301;Zutphen;havo;diploma;nat/tech;01VU;hbo;techniek;301;Zutphen;2
02VS;0;301;Zutphen;havo;diploma;nat/tech;21UI;hbo;techniek;758;Breda;1
02VS;0;301;Zutphen;havo;diploma;nat/tech;23AH;hbo;techniek;301;Zutphen;1
02VS;0;301;Zutphen;havo;diploma;nat/gezond;01MY;hbo;landbouw en natuurlijke omgeving;303;Dronten;1
02VS;0;301;Zutphen;havo;diploma;nat/gezond;01VU;hbo;onderwijs;301;Zutphen;1
02VS;0;301;Zutphen;havo;diploma;nat/gezond;21CW;hbo;landbouw en natuurlijke omgeving;285;Voorst;1
02VS;0;301;Zutphen;havo;diploma;nat/gezond;23AH;hbo;onderwijs;301;Zutphen;1
02VS;0;301;Zutphen;havo;diploma;nat/gezond;23AH;hbo;gezondheidszorg;213;Brummen;1
02VS;0;301;Zutphen;havo;diploma;nat/gezond;23AH;hbo;gezondheidszorg;301;Zutphen;1
02VS;0;301;Zutphen;havo;diploma;nat/gezond;23AH;hbo;gezondheidszorg;1876;Bronckhorst;1
02VS;0;301;Zutphen;havo;diploma;nat/gezond;25DW;hbo;techniek;344;Utrecht;1
02VS;0;301;Zutphen;havo;diploma;nat/gezond;25KB;hbo;techniek;301;Zutphen;3
02VS;0;301;Zutphen;havo;diploma;nat/gezond;25KB;hbo;gezondheidszorg;275;Rheden;1
02VS;0;301;Zutphen;havo;diploma;nat/gezond;25KB;hbo;gedrag en maatschappij;301;Zutphen;1
02VS;0;301;Zutphen;havo;diploma;ec/maat;01VU;hbo;economie;213;Brummen;1
02VS;0;301;Zutphen;havo;diploma;ec/maat;01VU;hbo;economie;262;Lochem;1
02VS;0;301;Zutphen;havo;diploma;ec/maat;01VU;hbo;gedrag en maatschappij;301;Zutphen;1
02VS;0;301;Zutphen;havo;diploma;ec/maat;21UI;hbo;economie;213;Brummen;1
02VS;0;301;Zutphen;havo;diploma;ec/maat;23AH;hbo;economie;150;Deventer;1
02VS;0;301;Zutphen;havo;diploma;ec/maat;23AH;hbo;economie;262;Lochem;2
02VS;0;301;Zutphen;havo;diploma;ec/maat;23AH;hbo;economie;301;Zutphen;5
02VS;0;301;Zutphen;havo;diploma;ec/maat;23AH;hbo;gedrag en maatschappij;262;Lochem;1
02VS;0;301;Zutphen;havo;diploma;ec/maat;25DW;hbo;gezondheidszorg;262;Lochem;1
02VS;0;301;Zutphen;havo;diploma;ec/maat;25DW;hbo;economie;301;Zutphen;1
02VS;0;301;Zutphen;havo;diploma;ec/maat;25DW;hbo;gedrag en maatschappij;301;Zutphen;1
02VS;0;301;Zutphen;havo;diploma;ec/maat;25KB;hbo;onderwijs;285;Voorst;1
02VS;0;301;Zutphen;havo;diploma;ec/maat;25KB;hbo;techniek;301;Zutphen;1
02VS;0;301;Zutphen;havo;diploma;ec/maat;25KB;hbo;gezondheidszorg;262;Lochem;1
02VS;0;301;Zutphen;havo;diploma;ec/maat;25KB;hbo;economie;213;Brummen;1
02VS;0;301;Zutphen;havo;diploma;ec/maat;25KB;hbo;economie;1876;Bronckhorst;2
02VS;0;301;Zutphen;havo;diploma;ec/maat;27NF;hbo;onderwijs;275;Rheden;1
02VS;0;301;Zutphen;havo;diploma;ec/maat;28DN;hbo;economie;363;Amsterdam;1
02VS;0;301;Zutphen;havo;diploma;cul/maat;00MF;hbo;taal en cultuur;344;Utrecht;1
02VS;0;301;Zutphen;havo;diploma;cul/maat;01VU;hbo;gedrag en maatschappij;1876;Bronckhorst;1
02VS;0;301;Zutphen;havo;diploma;cul/maat;09OT;hbo;onderwijs;301;Zutphen;1
02VS;0;301;Zutphen;havo;diploma;cul/maat;23AH;hbo;onderwijs;301;Zutphen;2
02VS;0;301;Zutphen;havo;diploma;cul/maat;23AH;hbo;gedrag en maatschappij;262;Lochem;1
02VS;0;301;Zutphen;havo;diploma;cul/maat;25BA;hbo;gedrag en maatschappij;301;Zutphen;1
02VS;0;301;Zutphen;havo;diploma;cul/maat;25KB;hbo;economie;1876;Bronckhorst;1
02VS;0;301;Zutphen;havo;diploma;cul/maat;25KB;hbo;gedrag en maatschappij;301;Zutphen;2
02VS;0;301;Zutphen;havo;diploma;cul/maat;27NF;hbo;taal en cultuur;262;Lochem;1
02VS;0;301;Zutphen;havo;diploma;cul/maat;27UM;hbo;economie;493;Berkel en Rodenrijs;1
02VS;0;301;Zutphen;havo;diploma;ec/maat & cul/maat;01VU;hbo;gezondheidszorg;262;Lochem;1
02VS;0;301;Zutphen;vwo;geen diploma;nat/gezond;25DW;hbo;gezondheidszorg;275;Rheden;1
02VS;0;301;Zutphen;vwo;geen diploma;ec/maat;23AH;hbo;economie;301;Zutphen;1
02VS;0;301;Zutphen;vwo;geen diploma;ec/maat;23AH;hbo;gedrag en maatschappij;301;Zutphen;1
02VS;0;301;Zutphen;vwo;geen diploma;cul/maat;21PM;wo;natuur;301;Zutphen;1
02VS;0;301;Zutphen;vwo;geen diploma;ec/maat & cul/maat;25BE;hbo;economie;14;Groningen;1
02VS;0;301;Zutphen;vwo;diploma;nat/tech;21PC;wo;natuur;14;Groningen;1
02VS;0;301;Zutphen;vwo;diploma;nat/tech;21PC;wo;gezondheidszorg;14;Groningen;1
02VS;0;301;Zutphen;vwo;diploma;nat/tech;21PC;wo;economie;14;Groningen;1
02VS;0;301;Zutphen;vwo;diploma;nat/tech;21PC;wo;gedrag en maatschappij;14;Groningen;1
02VS;0;301;Zutphen;vwo;diploma;nat/tech;21PD;wo;natuur;301;Zutphen;1
02VS;0;301;Zutphen;vwo;diploma;nat/tech;21PD;wo;gezondheidszorg;213;Brummen;1
02VS;0;301;Zutphen;vwo;diploma;nat/tech;21PF;wo;techniek;503;Delft;1
02VS;0;301;Zutphen;vwo;diploma;nat/tech;21PH;wo;techniek;150;Deventer;1
02VS;0;301;Zutphen;vwo;diploma;nat/tech;21PI;wo;landbouw en natuurlijke omgeving;1876;Bronckhorst;1
02VS;0;301;Zutphen;vwo;diploma;nat/tech;21PK;wo;natuur;384;Diemen;1
02VS;0;301;Zutphen;vwo;diploma;nat/tech;21PK;wo;gezondheidszorg;363;Amsterdam;1
02VS;0;301;Zutphen;vwo;diploma;nat/tech;21PK;wo;economie;363;Amsterdam;1
02VS;0;301;Zutphen;vwo;diploma;nat/tech;21PM;wo;gezondheidszorg;301;Zutphen;1
02VS;0;301;Zutphen;vwo;diploma;nat/tech;21PM;wo;economie;213;Brummen;1
02VS;0;301;Zutphen;vwo;diploma;nat/tech;25DW;hbo;techniek;301;Zutphen;1
02VS;0;301;Zutphen;vwo;diploma;nat/gezond;21PC;wo;natuur;14;Groningen;1
02VS;0;301;Zutphen;vwo;diploma;nat/gezond;21PC;wo;gezondheidszorg;14;Groningen;1
02VS;0;301;Zutphen;vwo;diploma;nat/gezond;21PC;wo;economie;14;Groningen;1
02VS;0;301;Zutphen;vwo;diploma;nat/gezond;21PD;wo;gezondheidszorg;301;Zutphen;1
02VS;0;301;Zutphen;vwo;diploma;nat/gezond;21PD;wo;gezondheidszorg;344;Utrecht;3
02VS;0;301;Zutphen;vwo;diploma;nat/gezond;21PD;wo;gedrag en maatschappij;285;Voorst;1
02VS;0;301;Zutphen;vwo;diploma;nat/gezond;21PD;wo;taal en cultuur;262;Lochem;1
